Botanic Garden-1707390701
,username,rating,content,ip_address,time
MBS,小吥咯咯,0.0,金沙的环境很不错 非常现代化的,浙江,2022-07-23 23:52:40
MBS,300****109,4.0,新加坡旅游景点之一，景色宜人美不胜收。,N/A,2022-07-02 01:01:07
MBS,sunnycccc,0.0,金沙这边商业气息很浓厚 游客也比较多,N/A,2022-05-24 01:37:46
MBS,sunnycccc,0.0,滨海湾的金沙非常的高大上哦 酒店也很高级,N/A,2022-05-23 01:33:37
MBS,龙神皇陛下,4.7,新加坡最负盛名的旅游度假娱乐酒店，拥有网红无边泳池，购物，娱乐中心，价位不低。,N/A,2022-05-09 10:34:01
MBS,sunnycccc,0.0,金沙金融区域有商业也有酒店的哦,N/A,2022-05-06 00:52:17
MBS,sunnycccc,0.0,金沙这里非常的高大上哦 很繁华,N/A,2022-05-05 02:09:21
MBS,小吥咯咯,0.0,滨海湾的金沙 那是超级的高档的😯,N/A,2022-04-30 23:55:39
MBS,sunnycccc,0.0,金沙真的是非常的繁华哦 太高档了,N/A,2022-04-30 00:36:33
MBS,小吥咯咯,0.0,金沙里面又有商场y 也有高档酒店,N/A,2022-04-19 04:14:14
MBS,小吥咯咯,0.0,滨海湾金沙的环境非常的不错哟！,N/A,2022-04-17 01:32:09
MBS,小吥咯咯,0.0,金沙汇集了商场 和酒店 很高大上,N/A,2022-04-15 02:01:03
MBS,sunnycccc,0.0,金沙cbd非常豪华 酒店商场都很不错,N/A,2022-04-13 01:00:28
MBS,sunnycccc,0.0,金沙这里非常豪华 酒店很高档的,N/A,2022-04-09 04:17:43
River Wonder,_WeCh****273529,5.0,随买随用，非常方便。,山东,2024-02-08 08:20:57
River Wonder,北京右下角,5.0,挺好的一次项目 时间虽然不长 但可以学到不少知识，适合孩子玩，很不错的一次娱乐体验，适合带着小朋友来学习认识动物和植物，不少海洋生物也不错。,泰国,2024-02-06 16:55:44
River Wonder,匿名用户,5.0,很新颖的坐船看动物体验 孩子很喜欢,上海,2024-02-06 08:09:37
River Wonder,匿名用户,5.0,孩子很喜欢 坐船看动物很新颖,上海,2024-02-06 08:09:08
River Wonder,vivi716,4.0,使用方便！10分钟，沿途动物不算多，但还挺值得坐一下的。,北京,2024-02-05 04:00:04
River Wonder,vivi716,4.0,使用方便，需要二次官网预约！不大的动物园，还可以，表演不要错过！去的路上就可以官网预约！地铁倒shuttle很方便，去程收费，可刷ezlink。,北京,2024-02-05 03:57:54
River Wonder,闷瓜,5.0,坐船这个项目比较有意思，可以不出此区域反复乘坐。但整个河川公园有些小，很快就逛完了，有些不值票价,北京,2024-02-04 07:22:16
River Wonder,M50****425,5.0,第二次来河川了，坐船最喜欢。,中国香港,2024-02-03 18:08:38
River Wonder,jd****j,5.0,挺好玩的，,江苏,2024-02-03 05:42:32
River Wonder,M27****2309,5.0,方方面面都好，值得一去,广东,2024-02-01 08:52:55
River Wonder,匿名用户,5.0,非常方面，很好的。带娃方便。,新加坡,2024-01-25 13:33:19
River Wonder,M50****6352,5.0,方便快捷便宜,黑龙江,2024-01-25 05:41:49
River Wonder,M32****6527,5.0,比现场买票要便宜得多，非常划算，感谢携程国外都可以订票太方便了。,中国台湾,2024-01-24 14:27:37
River Wonder,135****7659,5.0,很好，漂流做的三次,新加坡,2024-01-24 10:25:30
River Wonder,kyara,5.0,比起日间动物园，我更喜欢河川，全程顶棚不严热，各种鱼和鳄，龟。亚马孙漂流完全不吓人，就可惜路程短了点。熊猫馆堪称豪奢，馆内极其凉快。,上海,2024-01-24 09:21:12
River Wonder,mi****uan,4.0,园区不大，环境一级棒，都是主打一个原生态。没有看到水豚有点小遗憾。这个船也非常平稳。亲子活动非常好。趣味性就比较平淡了。,新加坡,2024-01-22 09:11:26
River Wonder,晚时,4.0,能看到挺多少见的动物，还有表演也有点意思，比较适合小朋友,北京,2024-01-17 11:29:24
River Wonder,夢回彡,4.7,合川生态园面积相对较小，但展台很多，物种丰富，而且中国租给新加坡的两只大熊猫就在河川生态园中，足以看出含金量。园区内可以超近距离观察到一些无攻击性的物种，包括很多热带特有物种，很推荐。,新加坡,2024-01-15 01:31:13
River Wonder,悠莜琦琦,5.0,漂流是付费项目，感觉坐小船河道两侧是小动物，感觉很好，票需要现场扫码网上买，有些麻烦。出票也快，随买随用，还是比较方便的。,浙江,2024-01-06 08:54:44
River Wonder,悠莜琦琦,5.0,小动物表演免费，但是需要网上抢位置的，很不幸没抢到，说是可以开演前去门口等候补位。。因为当时正好在熊猫馆看叻叻抢妈妈竹子吃，也没赶过去。运气不好的小伙伴可以去试试。,浙江,2024-01-06 08:51:13
River Wonder,悠莜琦琦,5.0,左手边路线比较有记忆点的是：各种鳄鱼，中华鲟，娃娃鱼，扬子鳄。左侧终点是熊猫馆。然后过河右侧就是小动物表演和亚马逊漂流。最后有一个水族馆，里面有食人鱼、海牛（俗称美人鱼）,浙江,2024-01-06 08:50:11
River Wonder,M51****4474,5.0,太棒啦！ 很喜欢,新加坡,2023-12-26 16:28:48
River Wonder,悠莜琦琦,5.0,首先我们要下载一个Mandai的APP，里面有所有的动物园地图演出时间，还有点餐等各种功能，园区内都能使用微信和支付宝支付也比较方便。,浙江,2023-12-23 14:11:53
River Wonder,我的520,5.0,非常棒，是值得去玩的地方，会推荐给朋友，小朋友也很满意，下次还会来，非常棒，是值得去玩的地方，会推荐给朋友，小朋友也很满意，下次还会来,浙江,2023-12-23 09:01:16
River Wonder,匿名用户,5.0,非常值得一去的动物园,菲律宾,2023-12-20 15:10:08
River Wonder,匿名用户,5.0,很好玩 园区不大但是种类繁多,四川,2023-12-19 01:21:30
River Wonder,匿名用户,5.0,海牛为什么不生活在海里？也爱吃绿叶菜和胡萝卜？大小朋友可以体验河川生态园独一无二的“海牛野趣游”幕后导览找答案。非常的有趣！,浙江,2023-12-16 15:36:40
River Wonder,匿名用户,5.0,园区的动物明星“美人鱼”的原型海牛，喜欢群居的巨型水懒、小而恐怖的食人鱼……它们共同构成了完整的亚马逊河风貌。很漂亮，宝宝很喜欢看,浙江,2023-12-16 15:35:47
River Wonder,匿名用户,5.0,每年进入雨季后，亚马逊河流域的水位暴涨，洪水将雨林淹没，形成了“洪溢林”这一特殊景观。河川生态园中的“亚马逊洪溢林”就将这一景观模拟，浓缩在一座世界最大的淡水水族馆中。,浙江,2023-12-16 15:34:57
River Wonder,悠莜琦琦,5.0,在新加坡也能看到大熊猫，河川生态园里就住着咱国宝萌神的四川老乡——凯凯和嘉嘉，它们在这座东南亚规模最大的大熊猫展馆内生活得相当舒心，吃的是园区专门为它们种植的竹子，以及胡萝卜、苹果等新鲜食材。,浙江,2023-12-16 15:34:07
River Wonder,匿名用户,5.0,亚马逊河流域下隐藏着怎样的秘密，引得勇敢者争相去探险？在河川生态园的特别项目“亚马逊河探索”游船中，你也可以模拟体验一下。乘坐项目特制的游船，开启一段漂流探险旅程，大食蚁兽、红鹤、美洲豹、南美貘、水豚等善于伪装的野生动物都藏在两岸的雨林中，需要一双双善于发现的眼睛。全程还有3处下坡河段，激起清凉的水花为你助兴。,浙江,2023-12-16 15:33:28
River Wonder,匿名用户,5.0,"河川生态园是新加坡万态野生动物世界旗下的4座动物园之一，是亚洲首创、独一无二的河川主题野生动物园，集齐亚马逊河、密西西比河、长江等世界各地著名河川，有超过11,000只河居动物聚居于此、快乐生活。整座动物园游览下来有极强的“探险感”，千万不要错过这5大亮点体验。",浙江,2023-12-16 15:32:13
River Wonder,悠莜琦琦,5.0,亚马逊探索游船 可以现场买票，一趟10分钟左右，可以无限次乘坐（小朋友身高要在106cm以上:)👉🏻 🐼除了卡皮巴拉以外，这里还有东南亚Z大的熊猫栖息地，可以探望大熊猫凯凯和嘉嘉🍄,浙江,2023-12-16 15:30:18
River Wonder,匿名用户,5.0,🎟表演 地址：游船广场，时间在每天11:30、14:30、16:30，可以调好闹钟提前两小时官网才会放票哦✅另外，要跟卡皮巴拉亲亲是另外的价钱！,浙江,2023-12-16 15:29:32
River Wonder,悠莜琦琦,5.0,交通：搭乘到khatib卡迪（Exit A）往左边走有接驳车，每15分钟来🚌！（first station 是新加坡飞禽公园不要下错车） 大概20mims到新加坡动物园、河川生态园和夜间野生动物园,浙江,2023-12-16 15:28:39
River Wonder,匿名用户,5.0,亚洲唯☝🏻一个以河川为主题的野生动物园，在这里可以看到八大河川动物，以及一系列河生巨型陆生动物与巨型淡水鱼。位置比较好找。,浙江,2023-12-16 15:27:54
River Wonder,匿名用户,5.0,小动物表演免费，但是需要网上抢位置的，很不幸没抢到，说是可以开演前去门口等候补位。。因为当时正好在熊猫馆看叻叻抢妈妈竹子吃，也没赶过去。运气不好的小伙伴可以去试试。,浙江,2023-12-16 15:26:24
River Wonder,悠莜琦琦,4.3,左手边路线比较有记忆点的是：各种鳄鱼，中华鲟，娃娃鱼，扬子鳄。左侧终点是熊猫馆。然后过河右侧就是小动物表演和亚马逊漂流。最后有一个水族馆，里面有食人鱼、海牛（俗称美人鱼）。,浙江,2023-12-16 15:25:43
River Wonder,悠莜琦琦,5.0,"·在大熊猫竹林展区,记得探望大熊猫家族凯凯、嘉嘉和首只在新加坡诞生的熊猫叻叻!位置也非常好找，就在日间动物园边上。走个五分钟吧！",浙江,2023-12-16 12:31:50
River Wonder,悠莜琦琦,5.0,"别错过河言物语动物表演,与我们一起探索动物明星拍留念。 ·漫步于淡水水族馆和深入各个惊险刺激的展区,包括大熊猫竹林和世界最大的淡水水族馆--亚马逊洪溢林。",浙江,2023-12-16 12:30:29
River Wonder,悠莜琦琦,5.0,12月13日，新加坡河川生态园为首只在新加坡出生的大熊猫“叻叻”举行欢送会。大熊猫“叻叻”将经过隔离后于2024年1月16日启程返回中国。大家可以来看下,浙江,2023-12-16 12:29:03
River Wonder,悠莜琦琦,5.0,河川生态园 太适合小朋友了，坐船看动物，整个园区一点不会晒到太阳，太懂我们妈妈的心情了。买个游船绕着园区逛，也是非常好玩。放松两腿，也不贵。,浙江,2023-12-16 12:27:18
River Wonder,悠莜琦琦,5.0,熊猫森林是一个大亮点，设计尽量利用现状坡地，人们经入口进入后通过高架桥近距离平行观赏大熊猫。玻璃穹顶控制温度和适度并避免阳光直射，营造出适宜的物种生存环境。玻璃上的竹叶印花在地面上投下斑驳的“树影”。,浙江,2023-12-16 12:25:32
River Wonder,悠莜琦琦,5.0,主题公园共分10个展区：北极的冻土地带、中国的扬子江、北美的密西西比河、非洲的刚果河、埃及的尼罗河、印度的恒河、澳州的穆理河、东南亚的湄公河、南美州的亚马逊河及新加坡的淡马锡河。,浙江,2023-12-16 12:24:55
River Wonder,悠莜琦琦,5.0,所有的路线都精心策划，每个专题区都有各自不同的体验氛围。河流野生动物园提供了一个动态的游廊，供人们观看各种不同的静态风景，比如在景区的东部修建了一条165米长的观景长廊，人们在这条长廊上看到不同的风景，同时这条长廊本身也成为一景。,浙江,2023-12-16 12:24:25
River Wonder,悠莜琦琦,5.0,东南亚最大的熊猫栖息地 —— 苍翠茂盛的大熊猫竹林，探望大熊猫“凯凯”与“嘉嘉”。亚马逊水下森林主题馆是全球最大的淡水水族馆，展示每年汛期时的亚马逊雨林以及栖息其上的逾 18 种野生动物，如海牛与巨滑舌鱼。,浙江,2023-12-16 12:23:43
River Wonder,悠莜琦琦,5.0,在这里你可以看到包括雄壮的密西西比河与神奇的长江在内的八大河川动物栖息地，以及一系列河生巨型陆生动物与巨型淡水鱼，如巨型河生水獭、大鲵以及濒临灭绝的湄公河巨鲶。,浙江,2023-12-16 12:22:52
River Wonder,悠莜琦琦,5.0,"漫步淡水画廊，在河川动物栖息地展览中了解独特的野生动物世界。生态园内拥有 5,000 个海洋、陆地生物，种类达 300 多种。",浙江,2023-12-16 12:22:15
River Wonder,悠莜琦琦,5.0,"河川生态园是亚洲首个也是唯一一个以河川为主题的野生动物园，园内拥有超过5,000 个动物栖息。游览八大 淡水栖息地，与巨型动物面对面，如巨型水獭、娃娃鱼以及湄公河巨鲶。",浙江,2023-12-16 12:21:37
River Wonder,悠莜琦琦,5.0,新加坡河川生态园（Singapore River Safari）是新加坡本地最新落成的动物园，以拥有大熊猫凯凯和嘉嘉而著称，成为新加坡动物园大家族的四个成员之一。,浙江,2023-12-16 12:20:36
River Wonder,匿名用户,5.0,还好在携程买了票，没有排队，现场买票的需要等候多余的位子,云南,2023-12-15 14:05:25
River Wonder,fr****ng,5.0,景色很漂亮,湖南,2023-12-14 05:14:08
River Wonder,飞向上天际的鱼83,5.0,好喜欢，主要喜欢新加坡对待动物的人性话，感觉那里的动物都生活的好快乐，不是取悦人的工具,广西,2023-12-12 07:19:11
River Wonder,M36****023,4.7,去的时候有些毛毛雨，天气不热，但是亚马逊漂流正在维修中，有些遗憾。玩一圈3小时左右，大多都是鱼，还是比较适合小朋友，熊猫还是值得看的。,上海,2023-12-08 13:20:56
River Wonder,匿名用户,5.0,很棒的地方,上海,2023-11-28 02:07:39
River Wonder,189****9902,5.0,值得去很多次的地方,上海,2023-11-28 02:07:24
River Wonder,张张张张-111,5.0,孩子很喜欢！玩的好开心！最喜欢里面的大鳄鱼！真的超大！里面的熊猫生活环境特别棒！还有很多鱼！是按照生活的河遇而分类的！亚马逊的鱼真的太大了！,辽宁,2023-11-27 17:23:32
River Wonder,168****6671,5.0,河川公园比较小，大约1个小时能转遍。位置与夜间动物园、新加坡动物园在一起。,新加坡,2023-11-26 13:41:43
River Wonder,M46****3293,5.0,河川生态园比想象的小很多，如果走马观花似的浏览也许一个小时就可以逛完，但我们看的比较细致，各种拍照录像看演出逛商店居然花了三个多小时。左手边入园，顺时针浏览右手边出园。中间有很大的鱼塘水箱拍照很好看，最后也有很多大水池。桥的一边是熊猫馆，能看到大小熊猫，桥的另外一边有一个动物表演和亚马逊河游船项目，推荐参加。动物表演需要提前预约，现场的话要排队看运气如果人很多就看不了了。整体园区环境很好，适合散步闲逛还能学一些知识看一些稀有的鱼和动物，非常不错。,北京,2023-11-20 13:33:20
River Wonder,悠莜琦琦,4.0,河川生态园一共有四个主题：长江流域生态、尼罗河流域生态、亚马逊生态和熊猫馆。 整个馆基本都有遮挡，非常凉快，炎热地方的避暑胜地。尤其是熊猫馆全部空调覆盖，可以凉凉快快看熊猫。,浙江,2023-11-18 11:29:20
River Wonder,悠莜琦琦,4.0,最后一天，冲的动物园，去了两个动物园，河川生态园和夜间动物园。河川生态园不大。环境超级好，有各种遮阳设施。室内展馆。不累！,浙江,2023-11-18 11:28:39
River Wonder,悠莜琦琦,4.0,小动物表演免费，但是需要网上抢位置的，很不幸没抢到，说是可以开演前去门口等候补位。。因为当时正好在熊猫馆看叻叻抢妈妈竹子吃，也没赶过去。运气不好的小伙伴可以去试试。 漂流是付费项目，感觉坐小船河道两侧是小动物，感觉很好，票需要现场扫码网上买，有些麻烦。,浙江,2023-11-18 11:27:43
River Wonder,悠莜琦琦,4.0,左手边路线比较有记忆点的是：各种鳄鱼，中华鲟，娃娃鱼，扬子鳄。左侧终点是熊猫馆。然后过河右侧就是小动物表演和亚马逊漂流。最后有一个水族馆，里面有食人鱼、海牛（俗称美人鱼）。,浙江,2023-11-18 11:27:14
River Wonder,悠莜琦琦,4.0,亞馬遜探索遊船🛶 👛能夠♾️乘坐，整趟10mins左右，可以看到不同動物，是我Z喜歡的活動了！我坐後面沒弄濕衣服！ 🐼園區裡面可以看麻麻叻叻好多人都圍在展區前等待🐼，真的好可愛。園區裡面很多動物～浣熊、熊貓、火鶴鳥、豹、不同的魚太多了！,浙江,2023-11-18 11:26:10
River Wonder,悠莜琦琦,4.0,搭乘到khatib卡迪（Exit A）往左边走有接驳车，每15分钟来🚌！（first station 是新加坡飞禽公园不要下错车） 大概20mims到新加坡动物园、河川生态园和夜间野生动物园,浙江,2023-11-18 11:24:58
River Wonder,悠莜琦琦,4.0,亚洲唯☝🏻一个以河川为主题的野生动物园，在这里可以看到八大河川动物，以及一系列河生巨型陆生动物与巨型淡水鱼。小朋友很喜欢看这些，就是太热了。,浙江,2023-11-18 11:24:21
River Wonder,320****325,4.0,亲近自然，和小动物近距离接触，真的很治愈，很开心，看到了想念已久的卡里巴拉，呆萌呆萌的，情绪很稳定！动物表演很有意思，值得看！,新加坡,2023-11-16 18:04:46
River Wonder,M46****3293,5.0,作为园内为数不多的付费项目，这个船票还是物超所值，游船体验很棒，感觉乘坐了很长时间，过程中可以看到各种鸟类猴子等小动物，也有一些人造景观，仿佛真的置身于亚马逊河，穿梭于热带雨林,北京,2023-11-15 13:54:49
River Wonder,悠莜琦琦,4.0,【🇸🇬新加坡唯一河流主题🏞野生公园】 这里有世界🌎河流主题密西西比河、🗾湄公河、长江、亚马逊河🏞四个水段组成，河川生态乐园超多河流生物前所未见，充满🎊无限乐趣,浙江,2023-11-09 06:01:57
River Wonder,悠莜琦琦,4.0,亚马逊船可以坐一大圈，但是106cm以下小孩不能上船，坐一圈20分钟左右，好玩的。入口就在演出的旁边。可以当场刷微信支付宝。买吃喝都算！很容易达成。,浙江,2023-11-09 05:26:06
River Wonder,悠莜琦琦,4.0,表演需要提前两小时预约 因为这个表演区很小 11:30 2:30 4:30 看表演的旁边就是坐船的售票处 可以扫码买 这个Amazon Rive不坐遗憾 坐了后悔 不要有任何期望！不要！ 这个园明星动物有水豚 海牛和熊猫,浙江,2023-11-09 05:24:26
River Wonder,悠莜琦琦,4.0,在松鼠猴生态园 (Squirrel Monkey Forest) 与这些自由放养的小家伙们打个招呼。松鼠猴会在树林中上蹿下跳，从俺的头顶上空跳跃而过。,浙江,2023-11-04 17:03:06
River Wonder,悠莜琦琦,4.0,倘佯于野生亚马逊 (Wild Amazonia) 展区，探索 “亚马逊河” (Amazon River Quest) 泛舟而行，10 分钟的游船之旅，可以领略全球最大的热带雨林的奇妙野生动物,浙江,2023-11-04 17:02:07
River Wonder,天府之子,5.0,很好的家庭体验,四川,2023-11-03 03:27:51
River Wonder,悠莜琦琦,3.7,新加坡河川生态园不大，就在动物园边上，两个景点一起玩，很方便。自己预约日期，直接扫码进去很好，河川的河道很窄，但是挺安全的。,浙江,2023-11-01 06:48:51
River Wonder,悠莜琦琦,4.0,坐着游船可以看一下动物，边看动物边看着小动物们，很好玩。零距离看着动物们玩耍，真想给小动物喂食。水里的乌龟很大，水也很清澈！棒棒哒！,浙江,2023-11-01 06:44:22
River Wonder,悠莜琦琦,4.0,瞧，河川生态园的熊猫好可爱啊，太萌啦！河川不大，大概玩个两个小时就差不多，里面有很多小动物，坐游船需要排队，扫码就可以了，不需要换票。很方便,浙江,2023-11-01 06:40:52
River Wonder,天府之子,5.0,很不错的体验,广东,2023-10-31 23:06:17
River Wonder,悠莜琦琦,4.3,在河川生态园里看到了心心念念的大熊猫，太可爱了。有没有被萌到。。。说实话在自己的国家都没有看到过熊猫，反而在新加坡看到了。。。不行，我也要去大成都看看我们的国宝熊猫。,浙江,2023-10-30 13:59:17
River Wonder,悠莜琦琦,4.0,游船在河川里面，直接扫码就可以了，不需要换票！还不错，很方便。果断入手体验，环境好，又可以看到咋们中国的大熊猫，还是比较激动的。,浙江,2023-10-26 16:22:29
River Wonder,悠莜琦琦,4.0,游船在河川里面，直接扫码就可以了，不需要换票！还不错，很方便。果断入手体验，环境好，又可以看到咋们中国的大熊猫，还是比较激动的。,浙江,2023-10-26 16:22:13
River Wonder,悠莜琦琦,4.0,游船在河川里面，直接扫码就可以了，不需要换票！还不错，很方便。,浙江,2023-10-26 05:45:05
River Wonder,d89****88,5.0,错峰出行，人少，可以细细看每个展厅！还看到了大熊猫，很近距离！而且里面很风凉！有个小演出，很自然那种，没有小动物被压迫的感觉！而且树间有很多猴子跳来跳去！遗憾的是亚马逊漂流在检修，没有乘到！,江苏,2023-10-22 02:30:08
River Wonder,M58****0353,4.7,动物园不错，有多种表演，比如大象表演，鸟类表演等，对比泰国的Safari world来说也不逊色，而且不会有人兜售饮料零食合影什么的。  河川个人感觉不太行，可能是之前去了新加坡海洋馆的原因。而且去的那天正好遇到它游船停运，有部分没看到可能也是原因。 至于大熊猫凯凯和嘉嘉都藏在里面没怎么看到，还是去四川看熊猫吧。,泰国,2023-10-20 16:03:20
River Wonder,悠莜琦琦,4.0,要自己预约，去了直接扫码入园。环境还不错，小朋友比较喜欢。这里有熊猫,浙江,2023-10-20 10:45:09
River Wonder,匿名用户,4.0,地方太小，一下就没了，漂流有三个下坡段小小刺激一下，第一排可能会溅到水，两边动物不多，水质不佳,浙江,2023-10-16 00:00:17
River Wonder,Abby畅畅,5.0,很值得去好玩,中国香港,2023-10-15 08:37:32
River Wonder,e08****67,4.0,去玩动物园，蹦着亚马逊游船去的 说实话没有想象的赞，毕竟门票价格摆在那，还有乘船要单独再付费 性价比着实不高 不过旅游还是主打一个体验，还是要打卡,上海,2023-10-13 02:02:22
River Wonder,117****559,5.0,逼真的造型，奇妙的体验,马来西亚,2023-10-11 03:18:15
River Wonder,117****559,5.0,神奇之旅，一次不够,马来西亚,2023-10-11 03:17:31
River Wonder,🐬馒头爱旅行,5.0,动物好玩，漂流很不错，熊猫馆太赞了👍,北京,2023-10-10 01:07:37
River Wonder,henry-yin,5.0,看河里动物还不错,上海,2023-10-09 02:33:07
River Wonder,匿名用户,4.0,新加坡是一个让人增加无数好感的城市，动物园系列可以玩两三天，河川动物园也很有特色，小动物比游客精神（可能更加适应炎热的气候），漂流较为平缓，两岸是各种动物在一旁栖息，适合低龄小朋友或热爱动物的“小朋友”，个人很喜欢河川,江苏,2023-10-09 02:15:55
River Wonder,匿名用户,5.0,可能是对小动物的偏爱，觉得这个动物油设计安排非常有意思，可以近距离看到很多小动物，小动物也一副见惯世面的样子，憨憨的友好的接待每一位游客,江苏,2023-10-08 12:22:48
River Wonder,320****935,4.7,体验感很好,山西,2023-10-08 04:35:24
River Wonder,320****935,4.7,主要以多肉为主，整体植物都非常值得观赏,山西,2023-10-08 04:34:58
River Wonder,鱼在撒哈拉,5.0,小孩很喜欢,上海,2023-10-07 14:45:22
River Wonder,匿名用户,5.0,虽然没有特别好玩，但携程价格优惠，也算不亏,北京,2023-10-07 01:10:25
River Wonder,135****9408,4.7,还是不错滴，就是那个船时间有点短,上海,2023-10-05 08:55:13
River Wonder,_WeCh****837222,5.0,体验感很独特，和之前的动物园与众不同,浙江,2023-10-05 04:50:45
River Wonder,梵铽汐,5.0,有大熊猫！整个生态园特别棒，如果想体验乘船，最好提前查询当日天气，我们去的时候没开。,印度尼西亚,2023-10-05 04:10:28
