username,rating,content,ip_address,time,Attraction
d89****88,5.0,先去了云雾林，里面空调很足！看到室内瀑布还是很新奇的！阿凡达展和云雾林很配，有很多互动项目，小朋友玩的比较起劲！花穹去的稍晚，灯光有点暗！看到了很多多肉，让我这个多肉爱好者很开心！晚上的灯光秀很美妙，拍照很梦幻，就是那天下雨，有点美中不足。,江苏,22/10/2023,Garden by the bay
M52****2001,5.0,很棒的体验，人造室内景观真是绝了，不愧是花园城市，而且里面比我想象中要大很多，建议预留5小时以上来这里玩，真的超级大，很费体力，可以连着金沙酒店一起玩比较顺路,上海,02/10/2023,Garden by the bay
m52****44,5.0,去了三个付费景观园，奇幻花园有许多适合拍照的布景，另两个冷室到滨海湾肯定是要去看一看的，傍晚去可以看到落日，晚上7点45和8点45有两场天空树灯光秀,上海,19/11/2023,Garden by the bay
M65****7468,5.0,挺富有新意的，值得去一趟,新加坡,24/01/2024,Garden by the bay
彼得曼岛张仪,4.0,花穹很一般，云雾林很美。 脚程很远，没有接驳车；餐饮店数量不足；手信店东西难看，买不下手 总结：累,广东,13/02/2024,Garden by the bay
匿名用户,5.0,花穹和云雾林里面太漂亮啦，够逛几个小时的，来新加坡旅游一定来这里看看，在携程订票是非常便宜的。,山西,26/01/2024,Garden by the bay
王姥姥88888,5.0,很喜欢看花，有好多品种的花都没有见过。太漂亮了！赏心悦目，两个园区一起买的票，很漂亮，很震撼！拍了好多漂亮的照片，留下买好的回忆！,新加坡,04/10/2023,Garden by the bay
M40****629,5.0,花穹和云雾林非常必打卡地，很多热带花草，还有室内最高人造岩石和瀑布。年味很浓，一进门就是一条巨龙，熠熠生辉。小朋友也觉得很有趣。,广东,15/02/2024,Garden by the bay
小叶子1120,4.7,云雾林很有特点，很值得去一次；花穹就略单薄一点；天热的时候逛很凉快，很舒服 嗯，票不能退改这个比较不合理，希望后面能改进吧,北京,13/02/2024,Garden by the bay
_WeCh****827009,5.0,好美呀，国际大都市的感觉，一定要去逛逛，吹吹风，说说心里的梦🤣🤣🤣🤣🤣,福建,31/01/2024,Garden by the bay
匿名用户,5.0,滨海湾花园作为新加坡的一个地标，当然值得去呀…之前去的时候有看夜晚的灯光秀，真的很美，是那种生态与科技的美好结合，植物的丰富和灯光的绚丽… 这回去主要是玩了几个需要门票的馆：花穹、雾林和Floral fantasy（也不知道写的对不对，实在是不记得中文翻译了），花穹和雾林真的很值得去，尤其是对于喜爱植物的人，这里真的可以开阔眼界…floral fantasy是一个不错的打卡地，如果有时间可以去看看的…,陕西,23/01/2024,Garden by the bay
clare_zz,4.3,在金沙湾公园里的一个室内花穹，阳光顶篷有空调，新加坡常年阳光暴晒所以一个室内花穹让游客可以尽情观赏美丽的花卉植物而避免暴晒，雨林是另一个室内空间，每季会推出一个主题，这一季的是阿凡达体验，小朋友会很喜欢。套票人民币264/人，携程买票凭电子二维码入园还是比较方便哒,上海,18/12/2023,Garden by the bay
悠莜琦琦,5.0,奇幻花园（Floral Fantasy）是滨海湾花园的人气景点，风格各异的四大主题景观将花卉、艺术和科技相结合，创造出梦里才会出现的美景。天花板上混合悬挂着超过1.5万朵鲜切花和干花，让您花团锦簇迎新年。,浙江,15/12/2023,Garden by the bay
悠莜琦琦,5.0,奇幻花园里到处是形态各异的鲜花绿植，不仅有好看又好拍的园艺装置，还有科技感十足又梦幻的雨林景观。打卡第一步，先到网红摄影地花之舞(Dance)，站在布满“鲜花瀑布”的穹顶之下拍一张美美的照片，接着再去花之雨(Waltz)、花之影(Drift)感受不同形式的花卉艺术之美,浙江,15/12/2023,Garden by the bay
悠莜琦琦,5.0,距离海湾舫地铁站（Bayfront MRT Station）一步之遥，占地1500平方米的奇幻花园主要由四个风格各异的主题花园构成，展示的花卉也会根据不同季节和主题进行更换。在这里可以感受到花卉、艺术与科技的完美融合，开启一场非凡的赏花之旅。,浙江,15/12/2023,Garden by the bay
悠莜琦琦,5.0,整个滨海湾花园里最醒目的标志就是擎天树了，这些巨大的钢筋混凝土“大树”灵感来自热带雨林，不但有树的造型，还模拟了树木的生态功能，上面装置了太阳能电池板和雨水收集器，可以保证周围植物的生长。到了晚上擎天树还可以亮灯表演灯光秀，简直是自然和科技完美合体！,浙江,15/12/2023,Garden by the bay
悠莜琦琦,5.0,这个花花世界颜值也太高了吧！里面有四个不同主题，拍照最好看的是“花之舞”鲜花长廊，从头顶垂下来的鲜花瀑布特别梦幻，拍人像后期加个烟雾特效秒变仙境！现在奇幻花园比云雾林还火，已经成为新加坡新晋网红拍照地啦！,浙江,15/12/2023,Garden by the bay
银河系里最温柔的搭车客,4.0,提前在携程上订好了滨海湾花园的票。当天过去直接用二维码扫码入场就可以了，还是挺方便的。买了一个《阿凡达》主题的云雾林还有一个就是花琼。还是比较推荐云雾林 个人感觉花穹就是植物园哈哈 而且也不是很大 云雾林还是晚上去比较好 有感觉 白天一般般吧 里面的植物不过是真的很大,上海,25/11/2023,Garden by the bay
爱走的小莫,5.0,巨大的室内花园，一边类似是植物展，另外一边就像丛林了，去的时候是阿凡达主题，还蛮不错的。虽然是玻璃盖场馆，但空调开得超足，很凉快。下午天气热的时候可以来逛逛这，交通挺便利，挨着金沙酒店，也挨着那个巨大树丛。,广东,25/11/2023,Garden by the bay
yuanyuan860116,5.0,环境很好  瀑布比较震撼 天然大氧吧 有电梯 方便孩子和老人 工作人员服务也好 营业时间比较长  孩子们都喜欢 第二次来的 每次主题都不一样,天津,22/01/2024,Garden by the bay
M34****568,5.0,值得一去，但要最好预备一天时间逛。先去花穹，晚上看阿凡達可能比较有感觉。如果时间不够，可能要先玩云林阿凡達，因为早关门,广东,13/11/2023,Garden by the bay
136****6962,5.0,环境极美，城市干净，夜景更赞，管理很好，服务人员态度好，有问必答，和爱可亲，,上海,30/12/2023,Garden by the bay
匿名用户,5.0,史迹花园（Heritage Gardens）和植物世界（World of Plants），带着孩子的访客，还可以选择去逛逛这两个园艺主题园林。园林由两部分组成，向人们展示植物对人类和地球的重要价值。,浙江,16/12/2023,Garden by the bay
匿名用户,5.0,滨海湾花园边上的儿童乐园，湖里有小鱼，大蜗牛🐌，还抓拍到叶子上的一只红色蜻蜓￼，孩子们很开心很兴奋能感受大自然😃。玩水注意带泳衣，毛巾，防晒，如果是12-3点会比较晒。玩水的玩具也可以带,浙江,16/12/2023,Garden by the bay
悠莜琦琦,5.0,抬头，满眼色彩缤纷；低头，一片郁郁葱葱。沿着蜿蜒曲折的道路行走。在雨林中漫步，听着瀑布倾泻而下的声音，伴着幽幽花香，忍不住要翩然起舞了～更神奇的是，还有水幕打印机，瀑布上会呈现出不同的图案！,浙江,15/12/2023,Garden by the bay
匿名用户,5.0,太值得一去了，花穹，云雾林这两个室内植物园令人震撼。遗憾的是因为下雨，没来得及去看更多的景点，期待下次再来。,马来西亚,18/12/2023,Garden by the bay
CocoZHY,5.0,来新加坡不可缺的目的地,新加坡,10/02/2024,Garden by the bay
匿名用户,4.3,两个地方在一起 营业时间 花穹：09:00-20:30 云雾林：09:00-20:00 门票：可当天携程购买，现场无需换票，直接扫码进入  花穹也是个兰花展 有好看的花花 有有趣的雕塑 我更喜欢阿凡达主题的云雾林 因为已经在植物园看过兰花了，所以花穹没有多惊艳,上海,06/09/2023,Garden by the bay
CocoZHY,5.0,美丽动人的花园,浙江,16/02/2024,Garden by the bay
匿名用户,5.0,里面很大，植物很多，各种各样的，晚上巨型树那里有灯光秀，值得看一看，来新加坡旅游必去的一个地方,河北,04/12/2023,Garden by the bay
匿名用户,5.0,体验很不错,上海,16/02/2024,Garden by the bay
186****0783,5.0,云雾林和花穹在一起，一张票可以解决，套票买重了血泪教训。擎天树的广场免费，上去天空走廊需要买票，一定注意时间，20:30 就不让上了。时间掌握不好坑爹。,新加坡,15/02/2024,Garden by the bay
E38****72,4.3,室内植物园的感觉，云雾森林比花穹更大，而且看点也比较多，可以坐电梯上到6楼然后慢慢往下走步道看植物。第一次看到这么多漂亮的兰花和只在书本上见到过的猪笼草，很不错的体验。,上海,12/02/2024,Garden by the bay
AndyCandy18,5.0,可以看到各种品类各地域的植物，环境和设施都很好,马来西亚,22/01/2024,Garden by the bay
koukou1984,5.0,去过很多次了，非常建议带家人朋友去走走，老人孩子都很喜欢，除了走路有点累，建议工作日过去，周末人很多，但是性价比非常好，,新加坡,03/02/2024,Garden by the bay
匿名用户,5.0,擎天树丛（Supertree Grove） 位于花园正中央最醒目的标志物，你可以漫步在高约22米的华侨银行空中走道（OCBC Skyway），俯瞰滨海南花园的全景。夜幕降临，还可以在树丛下观赏绚丽多彩的“花园狂想曲”灯光秀！,浙江,16/12/2023,Garden by the bay
匿名用户,5.0,花穹（Flower Dome） &amp; 云雾林（Cloud Forest） 两大植物冷室模拟了热带山地地区凉爽潮湿的气候、地中海亚热带地区及半干旱亚热带地区凉爽干燥的气候，展示了来自全球各个洲（南极洲除外）的10万种植物。,浙江,16/12/2023,Garden by the bay
悠莜琦琦,5.0,来了几次新加坡，一直没好好逛过「新加坡滨海湾花园」，这次终于来打卡啦～这个超级花园可以说是新加坡的城市绿洲，里面到处都是花草树木，让人有种穿越到热带奇幻森林的赶,浙江,15/12/2023,Garden by the bay
E01****87,5.0,金沙出来就很快能到滨海湾花园收费景点，迷雾森林好好玩，处处充满惊喜，花琼就一般吧，对于生活在珠三角的人来说，真的经常能看到这样的植物景观，提醒大家这两馆是真的冷啊，带上衣服吧。 滨海湾花园除了收费景点外，免费的也很有意思，留住时间和脚力好好走，你能看到大蜥蜴，水獭，水鸡等等。刚好现在还有个动物保护的雕塑展，两兄弟在这玩了一小时，拍了上百张照片。[偷笑] 七点四十五的擎天树灯光秀也很棒，一定要看哦。花坛很宽敞，能躺着看。,广东,26/09/2023,Garden by the bay
帅帅的牛,5.0,图一是金沙酒店平台俯拍的整个公园，公园是免费进的，里面的购票项目很复杂，售票处看了会晕，只推荐云雾林和花穹双馆，就是图一两个白色建筑。云雾林是阿凡达主题，有座植物假山，坐电梯到最高处再绕下来。花穹是世界各地的植物展示，有几棵猴面包树，有一片区域精灵宝可梦主题。公园中间有阿凡达场景的人工林，晚上有灯光秀。,广东,15/08/2023,Garden by the bay
钰儿2020,5.0,非常美丽的花园，温馨浪漫，不愧为有名的花园城市。各国游客聚集在此，让人大开眼界。,四川,08/08/2023,Garden by the bay
天空中的那朵红云,5.0,新加坡滨海湾花园非常漂亮，设计新颖独特。一定要登上花穹步道走走看看哦，每位参观者可以再步道上观景停留15分钟。步道参观票可以当场买，也可以事先在网上订购，傍晚七点亮灯，所以六点多开始游客会越来越多。下次去新加坡肯定会再去滨海湾花园参观赏景！,马来西亚,06/08/2023,Garden by the bay
Lucy钱,5.0,非常好，室内有空调，携程买比现场买便宜很多，验票也非常快，可以慢慢转悠2小时➕,新加坡,24/10/2023,Garden by the bay
银光粉蓝,5.0,一直信任携程，所有票证都是在携程定的,浙江,12/01/2024,Garden by the bay
匿名用户,5.0,充满悬浮花束和创意花卉展览的奇幻花园（Floral Fantasy）。丰富多彩的花园景观，一条条蜿蜒小径将不同空间连接在一起，每一个身在其中的人都仿佛踏入一个异梦空间。沿途还有一个小型箭毒蛙生态馆。,浙江,16/12/2023,Garden by the bay
匿名用户,5.0,来这里尽量穿长衣长裤吧，热就热点，以防被蚊虫给咬了，我就被虫子叮了贼痒抓破皮了都。 滨海湾花园餐饮不多，游客多，室外逛热了，大家都去室内凉快，shake shack汉堡店在入口处，连个座位都找不到。,浙江,16/12/2023,Garden by the bay
九兮妖尾,3.3,这个我觉得一般吧，好看是好看，但性价比一般，如果不是觉得旅游嘛来都来了我是不会掏钱去看的 可能也是因为我时间比较赶的原因，如果在那里坐半天什么的可能还不错,广东,17/02/2024,Garden by the bay
带着家人环游世界,4.3,绿植的天堂可以去逛一逛，值得游玩,浙江,15/02/2024,Garden by the bay
匿名用户,5.0,擎天树观景台～明信片般的美丽景色 相信从你踏入滨海湾花园的第一刻起，就对擎天树充满好奇与向往。擎天树观景台（Supertree Observatory）上，大家可以拥有滨海湾花园和市区的全景视角。,浙江,16/12/2023,Garden by the bay
匿名用户,5.0,当你一脚踏入云雾林（Cloud Forest），这里有世界上最高的室内瀑布和一座山峦葱郁的山脉，来自世界各个角落的植物点缀其中，创造了一个奇幻的绿色之梦。,浙江,16/12/2023,Garden by the bay
M33****2320,5.0,特别好看特别魔幻，没去过的必去,广东,14/02/2024,Garden by the bay
悠莜琦琦,5.0,云雾森林最有名的就是有一座全球最大的室内瀑布，这座高达35米的室内瀑布覆盖着茂密的绿色植被(兰花、猪笼草和蕨类植物等)。一进到室内就能感受到瀑布的水气喷上来，创造出一个被雾气笼罩的神秘世界。,浙江,04/11/2023,Garden by the bay
320****436,4.7,非常好，可惜这次因为春节灯光秀停了一场没看到有点可惜，正常灯光秀在晚上7:45和8:45两场。走到摩天轮大概15-20分钟。走到摩天轮路过双螺旋桥。,福建,14/02/2024,Garden by the bay
匿名用户,4.3,cloud forest还是不错，旁边那个应该是买一送一的，别期望太高,上海,08/02/2024,Garden by the bay
悠莜琦琦,5.0,滨海湾花园（Gardens by the bay）是新加坡市中心的超级花园，占地面积达101公顷，巨大的穹顶温室培植着38万株来自世界不同地域的奇花异卉。,浙江,15/12/2023,Garden by the bay
悠莜琦琦,5.0,四周都环绕着梯形的岩层。在这半封闭的空间里，天花板设计成一闪一闪的星星的天花板，再搭配柔和的灯光下，打造浪漫迷人的环境，绝对是这场花艺展的压轴！,浙江,15/12/2023,Garden by the bay
波娜特李泌,5.0,刚进门就被巨型瀑布震撼了，气势宏伟！里面的植物主打一个高度，值得一看，先去顶层再往下一层一层观看，有阿凡达变脸体验，大恐龙等。三岁以上就得买票了,新加坡,31/08/2023,Garden by the bay
仔仔SS,5.0,值得一去，室内温度宜人，植物品种繁多。携程购票服务非常方便。,江苏,07/12/2023,Garden by the bay
一草一木看世界,5.0,滨海湾花园是新加坡著名必去的景点，室内花卉漂亮、热带雨林景色，阿凡达体验很有趣，里面有瀑布、有空中栈道、有鸟鸣，养分充足，是避暑的好地方。,广东,23/10/2023,Garden by the bay
Makal,5.0,携程现在无法无天，订单24192235105涉嫌违约欺诈，态度蛮横，拒不退还不合理款项，相关部门都无法处置携程，只能司法诉讼，简直作死。,上海,08/02/2024,Garden by the bay
阳光明媚敏,5.0,值得走走 凉凉快快,北京,06/01/2024,Garden by the bay
匿名用户,4.0,有阿凡达主题的趣味性十足和让人慨叹造园的不易和创意。另外一个是各洲特色植物跟上海辰山植物园差不多吧。也没有觉得有什么特色。也人满为患。,北京,11/01/2024,Garden by the bay
M40****145,5.0,只能说太太太太太赞了，新加坡必打卡点，超级出片，一步一景，这个地方太适合怕热星人了，室内温度15➕，可以把该行程放在一天最热的时间段，建议可以提前查一下云雾森林的云雾开启时间,上海,12/09/2023,Garden by the bay
