username,rating,content,ip_address,time,Attraction,cleaned_content,all_words,verbs,nouns,adjectives
悠莜琦琦,5.0,花穹是矮的那个，就是个大玻璃花房。游客基本都是冲着云雾林去的，如果不是联票，估计很少人会专门去花穹￼但如果对植物造景没有特别喜爱也可以两个都不看，比如我家小直男就基本没兴趣,浙江,08/01/2024,Garden by the bay,花穹是矮的那个就是个大玻璃花房。游客基本都是冲着云雾林去的如果不是联票估计很少人会专门去花穹但如果对植物造景没有特别喜爱也可以两个都不看比如我家小直男就基本没兴趣,花穹 矮 玻璃 花房 游客 冲着 云雾 林 联票 估计 很少 人会 花穹 植物 造景 特别喜爱 两个 我家 小直男 没 兴趣,估计 没,花穹 玻璃 花房 游客 云雾 林 联票 人会 花穹 植物 造景 特别喜爱 小直男 兴趣,矮
M23****6317,5.0,植物很多 空气非常好 很适合去跑步 哈哈哈哈阿凡达感十足。推荐去看哦。在携程上订比在现场更便宜一些。推荐游玩时间两个小时。交通比较方便,重庆,04/02/2024,Garden by the bay,植物很多。空气非常好。很适合去跑步。哈哈哈哈阿凡达感十足。推荐去看哦。在携程上订比在现场更便宜一些。推荐游玩时间两个小时。交通比较方便,植物 很多 空气 适合 跑步 哈哈哈哈 阿凡达 感 十足 推荐 携程 上订 现场 便宜 推荐 游玩 时间 两个 小时 交通,适合 感 推荐 上订 推荐,植物 空气 跑步 阿凡达 携程 现场 游玩 时间 小时 交通,便宜
leslieboy,5.0,声临其境，仿佛进入了爱丽丝梦游仙境，实在太美了！很多很多没有看到过的花花草草，引人入胜，是一个拍照出片的好地方，空气也很新鲜！,浙江,18/02/2024,Garden by the bay,声临其境仿佛进入了爱丽丝梦游仙境实在太美了。很多很多没有看到过的花花草草引人入胜是一个拍照出片的好地方空气也很新鲜。,声临其境 仿佛 爱丽丝 梦游 仙境 实在 太美 很多很多 花花草草 引人入胜 拍照 出片 地方 空气 新鲜,实在 拍照,爱丽丝 梦游 仙境 花花草草 出片 地方 空气 新鲜,太美
悠莜琦琦,5.0,擎天树丛（Supertree Grove） 位于花园正中央最醒目的标志物，你可以漫步在高约22米的华侨银行空中走道（OCBC Skyway），俯瞰滨海南花园的全景。夜幕降临，还可以在树丛下观赏绚丽多彩的“花园狂想曲”灯光秀！,浙江,23/12/2023,Garden by the bay,擎天树丛Supertree Grove 位于花园正中央最醒目的标志物你可以漫步在高约米的华侨银行空中走道OCBC Skyway俯瞰滨海南花园的全景。夜幕降临还可以在树丛下观赏绚丽多彩的花园狂想曲灯光秀。,擎天 树丛 Supertree   Grove   位于 花园 正 中央 醒目 标志物 漫步 高约 米 华侨银行 空中 走道 OCBC   Skyway 俯瞰 滨海南 花园 全景 夜幕降临 树丛 观赏 绚丽多彩 花园 狂想曲 灯光 秀,位于 醒目 漫步 走道 俯瞰 观赏,擎天 树丛 花园 中央 标志物 高约 华侨银行 滨海南 花园 全景 夜幕降临 树丛 花园 狂想曲 灯光,秀
匿名用户,5.0,植物冷室 花穹（Flower Dome） &amp; 云雾林（Cloud Forest） 两大植物冷室模拟了热带山地地区凉爽潮湿的气候、地中海亚热带地区及半干旱亚热带地区凉爽干燥的气候，展示了来自全球各个洲（南极洲除外）的10万种植物。,浙江,23/12/2023,Garden by the bay,植物冷室。花穹Flower Dome amp 云雾林Cloud Forest 两大植物冷室模拟了热带山地地区凉爽潮湿的气候地中海亚热带地区及半干旱亚热带地区凉爽干燥的气候展示了来自全球各个洲南极洲除外的万种植物。,植物 冷室 花穹 Flower   Dome   amp   云雾 林 Cloud   Forest   两 植物 冷室 模拟 热带 山地 地区 凉爽 潮湿 气候 地中海 亚热带 地区 半干旱 亚热带 地区 凉爽 干燥 气候 展示 全球 洲 南极洲 万种 植物,模拟 展示,植物 冷室 花穹 云雾 林 植物 冷室 热带 山地 地区 气候 地中海 亚热带 地区 半干旱 亚热带 地区 气候 全球 洲 南极洲 植物,凉爽 潮湿 凉爽 干燥
悠莜琦琦,5.0,新加坡滨海湾花园（Gardens by the Bay）是一座市中心的超级花园，这里汇集了世界各地的特色植物和花卉，目前我们的游览体验主要是集中在滨海南花园进行。 由英国园林建筑公司Grant Associates设计的滨海南花园，是滨海湾三座花园中最大的一座。,浙江,23/12/2023,Garden by the bay,新加坡滨海湾花园Gardens by the Bay是一座市中心的超级花园这里汇集了世界各地的特色植物和花卉目前我们的游览体验主要是集中在滨海南花园进行。 由英国园林建筑公司Grant Associates设计的滨海南花园是滨海湾三座花园中最大的一座。,新加坡 滨海湾 花园 Gardens   by   the   Bay 一座 市中心 超级 花园 汇集 世界各地 特色 植物 花卉 游览 体验 滨海南 花园   英国 园林建筑 公司 Grant   Associates 设计 滨海南 花园 滨海湾 三座 花园 一座,汇集 游览 设计,新加坡 滨海湾 花园 市中心 花园 特色 植物 花卉 体验 滨海南 花园 英国 园林建筑 公司 滨海南 花园 滨海湾 花园,
圆圆,5.0,来新加坡必打卡之地！虽然是人造景观不过里面的花花草草很是值得一看，阿凡达的制作惟妙惟肖👍仿佛置身于一个神奇的世界。,河北,29/12/2023,Garden by the bay,来新加坡必打卡之地。虽然是人造景观不过里面的花花草草很是值得一看阿凡达的制作惟妙惟肖仿佛置身于一个神奇的世界。,新加坡 必 打卡 人造 景观 花花草草 值得一看 阿凡达 制作 惟妙惟肖 仿佛 置身于 神奇 世界,打卡 制作,新加坡 人造 景观 花花草草 阿凡达 世界,神奇
全幼儿园最聪明,5.0,这个目的地绝对是旅行者的天堂！美丽的风景和丰富的文化让人流连忘返。” •“这次旅行真是太棒了！遇见了独特的风土人情，收获了难以忘怀的回忆。”,广西,06/02/2024,Garden by the bay,这个目的地绝对是旅行者的天堂。美丽的风景和丰富的文化让人流连忘返。 这次旅行真是太棒了。遇见了独特的风土人情收获了难以忘怀的回忆。,目的地 旅行者 天堂 美丽 风景 文化 流连忘返   旅行 太棒了 遇见 独特 风土人情 收获 难以忘怀 回忆,旅行 遇见 收获 回忆,目的地 旅行者 天堂 美丽 风景 文化 太棒了,独特
_WeCh****827009,5.0,好美呀，一定要去滨海湾逛逛，吹吹夜晚的风，心情好极了，也要去看超级树，美轮美奂啊,福建,31/01/2024,Garden by the bay,好美呀一定要去滨海湾逛逛吹吹夜晚的风心情好极了也要去看超级树美轮美奂啊,美 滨海湾 逛逛 吹 吹 夜晚 风 心情 好极了 超级 树 美轮美奂,逛逛 吹 吹 树,滨海湾 风 心情 美轮美奂,
悠莜琦琦,5.0,滨海南花园还有仙人掌绿亭（Sun Pavilion）、峡谷园（The Canyon）、蜻蜓湖和翠鸟湖（Dragonfly and Kingfisher Lakes） 来到这里，大家不妨花上一天时间，在这里闲庭漫步，将“花园城市”的美景尽收眼帘。,浙江,23/12/2023,Garden by the bay,滨海南花园还有仙人掌绿亭Sun Pavilion峡谷园The Canyon蜻蜓湖和翠鸟湖Dragonfly and Kingfisher Lakes 来到这里大家不妨花上一天时间在这里闲庭漫步将花园城市的美景尽收眼帘。,滨海南 花园 仙人掌 绿亭 Sun   Pavilion 峡谷 园 The   Canyon 蜻蜓 湖和 翠鸟 湖 Dragonfly   and   Kingfisher   Lakes   来到 花 时间 闲庭 漫步 花园 城市 美景 尽收 眼帘,来到 花 漫步 尽收,滨海南 花园 仙人掌 绿亭 峡谷 园 蜻蜓 湖和 翠鸟 湖 时间 闲庭 花园 城市 美景 眼帘,
匿名用户,5.0,很美，但一定要提前计划，大概下午四五点去拍照好看，我们晚上去天黑拍照不好看，景色也看不太清，super tree的音乐也是很赞的，可惜我们去晚了，什么都是赶赶的，没有办法好好享受，出租车不贵，如果没有叫车软件，就去排队坐blue and yellow的车，礼宾部和出租车司机告诉我们的，对师傅的约束会很多，很安全价格合理,海南,18/12/2023,Garden by the bay,很美但一定要提前计划大概下午四五点去拍照好看我们晚上去天黑拍照不好看景色也看不太清super tree的音乐也是很赞的可惜我们去晚了什么都是赶赶的没有办法好好享受出租车不贵如果没有叫车软件就去排队坐blue and yellow的车礼宾部和出租车司机告诉我们的对师傅的约束会很多很安全价格合理,很美 提前 计划 大概 下午 四五点 拍照 好看 晚上 天黑 拍照 好看 景色 太 清 super   tree 音乐 赞 可惜 去晚 赶赶 办法 好好 享受 出租车 贵 车 软件 排队 坐 blue   and   yellow 车 礼宾 部 出租车 司机 告诉 师傅 约束 很多 价格合理,提前 拍照 好看 拍照 好看 赞 可惜 赶赶 享受 坐 告诉 约束,计划 天黑 景色 音乐 办法 出租车 车 软件 排队 车 礼宾 出租车 司机 师傅 价格合理,很美 清 贵
M36****023,5.0,参天大树，非常壮观，更适合傍晚去，逛一圈正好可以看。花穹很一般，除非对花卉非常有研究。云雾林可以去看看，阿凡达主题设计，那么多花花草草，但没有蚊虫，也是一大奇迹。晚上的灯光秀很好看，大家都躺在地上看，大家也都很有素质，没有哄抢占位。,上海,08/12/2023,Garden by the bay,参天大树非常壮观更适合傍晚去逛一圈正好可以看。花穹很一般除非对花卉非常有研究。云雾林可以去看看阿凡达主题设计那么多花花草草但没有蚊虫也是一大奇迹。晚上的灯光秀很好看大家都躺在地上看大家也都很有素质没有哄抢占位。,参天大树 壮观 适合 傍晚 去逛 一圈 正好 花穹 花卉 研究 云雾 林 阿凡达 主题 设计 花花草草 蚊虫 一大 奇迹 晚上 灯光 秀 好看 躺 地上 素质 哄抢 占位,适合 去逛 研究 设计 好看 躺 哄抢 占位,参天大树 花穹 花卉 云雾 林 阿凡达 主题 花花草草 蚊虫 奇迹 灯光 素质,壮观 正好 一大 秀
M46****3293,5.0,奇幻花园超级好看，各种奇花异草搭配到一起如梦如画。正好碰到有人在这里拍婚纱照，想来照片一定很好看。整个花园不大，但是有各种花做的造型，都拍下来也要一些时间。奇幻花园位于滨海湾花园的中间位置，靠近金沙，外观不怎么起眼，里面别有洞天。强烈推荐！,北京,23/11/2023,Garden by the bay,奇幻花园超级好看各种奇花异草搭配到一起如梦如画。正好碰到有人在这里拍婚纱照想来照片一定很好看。整个花园不大但是有各种花做的造型都拍下来也要一些时间。奇幻花园位于滨海湾花园的中间位置靠近金沙外观不怎么起眼里面别有洞天。强烈推荐。,奇幻 花园 超级 好看 奇花异草 搭配 梦 画 正好 碰到 有人 拍 婚纱照 想来 照片 好看 花园 花 造型 拍下来 时间 奇幻 花园 位于 滨海湾 花园 位置 靠近 金沙 外观 不怎么 起眼 别有洞天 强烈推荐,好看 搭配 画 碰到 拍 想来 好看 花 拍下来 位于 位置 靠近 起眼,奇幻 花园 梦 婚纱照 照片 花园 造型 时间 奇幻 花园 滨海湾 花园 金沙 外观,正好
