ticket_name,price,currency,ticket_count,revenue,more_info
Adult Ticket,76,SGD,203,15428,Gardens by the Bay Flower Dome + Cloud Forest Ticket + S.E.A. Aquarium Ticket Adult Ticket
Child Ticket,54,SGD,41,2214,Gardens by the Bay Flower Dome + Cloud Forest Ticket + S.E.A. Aquarium Ticket Child Ticket
Adult Ticket,77,SGD,15,1155,Gardens by the Bay Flower Dome +Cloud Forest Ticket + Singapore Zoo Ticket Adult Ticket
Child Ticket,57,SGD,13,741,Gardens by the Bay Flower Dome +Cloud Forest Ticket + Singapore Zoo Ticket Child Ticket
Adult Ticket,72,SGD,4,288,Adventure Cove Waterpark Ticket + Flower Dome Ticket + Cloud Forest Ticket Adult Ticket
Child Ticket,43,SGD,1,43,Adventure Cove Waterpark Ticket + Flower Dome Ticket + Cloud Forest Ticket Child Ticket
Adult Ticket,10,SGD,133,1330,Gardens by the Bay Outdoor Audio Tour Adult Ticket-Chinese Guide
Adult Ticket,10,SGD,22,220,Gardens by the Bay Outdoor Audio Tour Adult Ticket-English Guide
Child Ticket,5,SGD,28,140,Gardens by the Bay Outdoor Audio Tour Child Ticket-Chinese Guide
Child Ticket,5,SGD,7,35,Gardens by the Bay Outdoor Audio Tour Child Ticket-English Guide
