username,rating,content,time,image,UserURL,Attraction,is_english
緣分之回憶,5.0,新加坡植物园是新加坡最著名的旅游景点之一，也是世界上最美丽的植物园之一。这个植物园占地60公顷，拥有超过10万种植物，包括许多稀有和珍贵的物种。在这里，你可以欣赏到各种颜色和形状的花卉，还可以学习到有关植物的知识。植物园内有许多不同的区域，包括热带雨林、草地和花园等。其中最著名的区域是园区内的「国家兰花园」，这里拥有世界上最大的兰花展览馆，展示了各种颜色和形状的兰花。此外，植物园还有一个名为「亚洲文化园」的区域，这里展示了亚洲各地的植物和文化。你可以在这里欣赏到中国、日本、印度和马来西亚等国家的植物和建筑风格。总之，新加坡植物园是一个非常美丽和有趣的地方，无论你是对植物感兴趣还是只是想在自然环境中放松一下，这里都是一个值得游览的地方。,11/03/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175149228?locale=en-SG,Botanic Garden,False
thetravelinguu,5.0,新加坡植物园真是太棒了！它有许多新奇的植物和花卉，拉出一片线形花园，非常壮观而亮丽。而且它还有一个水池，有鳄鱼。有一些小的公园和凉亭，可以歇息，观赏景色，享受自然的魅力。总的来说，新加坡植物园是一个令人惊叹的游乐场，它对常规生活充满欢乐，我强烈推荐！,27/02/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175035279?locale=en-SG,Botanic Garden,False
Niceee,5.0,新加坡植物园是一个令人惊叹的世界级植物园，拥有广泛的植物种类和美丽的景观。这个园区不仅为游客提供了一个放松身心、享受大自然的理想场所，还为科学研究和保护生物多样性做出了重要贡献。园内的中心湖、亭台楼阁和园林设计都非常精美，每年吸引数百万游客前来参观。作为一个热带植物园，它的气候非常宜人，无论是白天还是夜晚，都是一个非常值得一游的地方。总之，新加坡植物园是一个值得推荐的旅游景点，不容错过。,25/02/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175017100?locale=en-SG,Botanic Garden,False
EricaC,5.0,新加坡植物园占地74公顷，位于新加坡。约为英国皇家植物园大小的一半，纽约中央公园的五分之一。开放时间为早上5点至午夜12点，并且除国家胡姬花园外全园免费。新加坡植物园南部为荷兰路和那比尔路，东部为古鲁尼路，西部为泰瑟尔道和古鲁尼公园路，北部为武吉知马路。公园最南端距最北端约2.5公里。,24/02/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175008632?locale=en-SG,Botanic Garden,False
Free Travel Lady,5.0,"2015年,新加坡植物园被列入联合国教科文组织的世界文化遗产,成为狮城首个世界遗产项目,也再次确认了新加坡作为「花园城市」的美誉。这个物种丰富、充满英式风情的人造园林的所在地本来只是边垂郊区,是一大片常见热带作物的种植园,曾经被富裕的种植园主组成的,农业园艺协会向当时的殖民政府要来建设植物园. 然而到了1874年,由于兴建植物园而举债过度的协会宣布破产,政府于是收购了植物园,并开放成公共空间.当时植物园的基础建设已完成,成功吸引来访的英国人络绎不绝.",12/08/22,4,https://sg.trip.com/review/singapore-botanic-gardens-76133-172075066?locale=en-SG,Botanic Garden,False
北京右下角,5.0,非常漂亮的地方，里面两个收费花园很有特色，白天和晚上是不同的风景，票价不贵，外边环境优雅，免费大花园也很有意境 都是打卡点。,15/02/24,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180745943?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,这个时节去玩还不错。花穹的主题也是圣诞红和维京人。圣诞仙境很值得一看，也有很多游乐设施适合带小朋友玩。擎天树观景台在圣诞仙境内，所以只看到夜景，平时黄昏时去应该最好。,18/12/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-180121751?locale=en-SG,Garden by the bay,False
M29***22,5.0,提前买了迷雾森林和花穹的门票，综合来说迷雾森林更有氛围再加上阿凡达特效景观加持，整体感觉比花穹好看。花穹我们过去时天已经黑了，很多植物观看效果不是特别理想，但是花穹里面有中秋节主题灯光展览所以也还不错。两个花园看完大约需要2小时，出来后，去超级树下准备看7点45分的灯光秀。可能因为中秋节，这里人非常多，中国游客能占据一半左右。7点45分超级树灯光秀准时开始，特别应景的播放了多首中文中秋歌曲，现场氛围非常热烈。灯光秀很震撼，持续15分钟左右后散场。超级树灯光秀每晚7点45和8点45两场，注意不要错过，值得一看，关键是免费的。,06/10/23,6,https://sg.trip.com/review/gardens-by-the-bay-94795-179276236?locale=en-SG,Garden by the bay,False
暖暖麻麻丫,5.0,很美，就在金沙旁边，值得一去。我们去的那天下大雨，但是两个场馆都在室内，丝毫不受天气影响。里面的设置精致有趣，孩子大人都很喜欢。室内冷气大，去的时候记得带外衣,21/12/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-180139610?locale=en-SG,Garden by the bay,False
阿尔施维尔吴王僚,5.0,滨海湾花园是新加坡最著名的景点之一，在鱼尾狮公园的对面。不仅有金沙酒店，还有花穹、擎天树几个独立的景点。花穹里面就是热带雨林风貌的植物园，擎天树可以乘电梯上去。注意这几个地方彼此间要走一段路。,26/01/24,4,https://sg.trip.com/review/gardens-by-the-bay-94795-180514972?locale=en-SG,Garden by the bay,False
handsupppppp,5.0,云雾林值得一去，花穹里就是各种花，后悔没有买擎天树观景台！买之前也没有仔细了解，导致浪费了门票。9:00左右就不给进了，要去的朋友抓紧买票哦,06/02/24,5,https://sg.trip.com/review/gardens-by-the-bay-94795-180644644?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,观景台超棒！是滨海湾花园周边最高的建筑，可以看到大海，也可以看到金沙酒店，确实挺不错的，但是要注意观景台是观景台，skyway是skyway，不要买错票或者排错队了。花穹在云雾林旁边，是室内的项目，有多种花卉可以观赏，而且场馆内很凉快，确实挺不错的。,31/01/24,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180576179?locale=en-SG,Garden by the bay,False
夢回彡,5.0,在一个巨大的温室中，生活着成百上千种热带特有的花卉与绿植，云雾林中间有一个巨大的绿植高塔，并且有一个很大的瀑布，进入后跟随路线一路向上边走边参观，再坐电梯前往塔顶，沿着空中栈步道欣赏整个花穹，极为壮观。,15/01/24,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180422601?locale=en-SG,Garden by the bay,False
syrh,5.0,这是新加坡之旅最惊喜的，也是最惊艳的一个景点了，尤其是云雾林里面，《阿凡达》的主题非常引人入胜，给人非常好的体验!里边的馆非常大，关键是最难得的全程有空调，真是舍得投资的一个旅游项目，非常值得一去!,03/01/24,0,https://sg.trip.com/review/gardens-by-the-bay-94795-180286489?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,花穹是矮的那个，就是个大玻璃花房。游客基本都是冲着云雾林去的，如果不是联票，估计很少人会专门去花穹￼但如果对植物造景没有特别喜爱也可以两个都不看，比如我家小直男就基本没兴趣,08/01/24,4,https://sg.trip.com/review/gardens-by-the-bay-94795-180350794?locale=en-SG,Garden by the bay,False
M23***17,5.0,植物很多 空气非常好 很适合去跑步 哈哈哈哈阿凡达感十足。推荐去看哦。在携程上订比在现场更便宜一些。推荐游玩时间两个小时。交通比较方便,04/02/24,8,https://sg.trip.com/review/gardens-by-the-bay-94795-180598184?locale=en-SG,Garden by the bay,False
leslieboy,5.0,声临其境，仿佛进入了爱丽丝梦游仙境，实在太美了！很多很多没有看到过的花花草草，引人入胜，是一个拍照出片的好地方，空气也很新鲜！,18/02/24,5,https://sg.trip.com/review/gardens-by-the-bay-94795-180778661?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,擎天树丛（Supertree Grove）位于花园正中央最醒目的标志物，你可以漫步在高约22米的华侨银行空中走道（OCBC Skyway），俯瞰滨海南花园的全景。夜幕降临，还可以在树丛下观赏绚丽多彩的&ldquo;花园狂想曲&rdquo;灯光秀！,23/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180152128?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,植物冷室花穹（Flower Dome） &amp; 云雾林（Cloud Forest）两大植物冷室模拟了热带山地地区凉爽潮湿的气候、地中海亚热带地区及半干旱亚热带地区凉爽干燥的气候，展示了来自全球各个洲（南极洲除外）的10万种植物。,23/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180152118?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,新加坡滨海湾花园（Gardens by the Bay）是一座市中心的超级花园，这里汇集了世界各地的特色植物和花卉，目前我们的游览体验主要是集中在滨海南花园进行。由英国园林建筑公司Grant Associates设计的滨海南花园，是滨海湾三座花园中最大的一座。,23/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180152096?locale=en-SG,Garden by the bay,False
圆圆,5.0,来新加坡必打卡之地！虽然是人造景观不过里面的花花草草很是值得一看，阿凡达的制作惟妙惟肖👍仿佛置身于一个神奇的世界。,29/12/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-180222971?locale=en-SG,Garden by the bay,False
全幼儿园最聪明,5.0,这个目的地绝对是旅行者的天堂！美丽的风景和丰富的文化让人流连忘返。&rdquo;&bull;&ldquo;这次旅行真是太棒了！遇见了独特的风土人情，收获了难以忘怀的回忆。&rdquo;,06/02/24,4,https://sg.trip.com/review/gardens-by-the-bay-94795-180646479?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,滨海南花园还有仙人掌绿亭（Sun Pavilion）、峡谷园（The Canyon）、蜻蜓湖和翠鸟湖（Dragonfly and Kingfisher Lakes）来到这里，大家不妨花上一天时间，在这里闲庭漫步，将&ldquo;花园城市&rdquo;的美景尽收眼帘。,23/12/23,2,https://sg.trip.com/review/gardens-by-the-bay-94795-180152108?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,很美，但一定要提前计划，大概下午四五点去拍照好看，我们晚上去天黑拍照不好看，景色也看不太清，super tree的音乐也是很赞的，可惜我们去晚了，什么都是赶赶的，没有办法好好享受，出租车不贵，如果没有叫车软件，就去排队坐blue and yellow的车，礼宾部和出租车司机告诉我们的，对师傅的约束会很多，很安全价格合理,18/12/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-180119343?locale=en-SG,Garden by the bay,False
M36***23,5.0,参天大树，非常壮观，更适合傍晚去，逛一圈正好可以看。花穹很一般，除非对花卉非常有研究。云雾林可以去看看，阿凡达主题设计，那么多花花草草，但没有蚊虫，也是一大奇迹。晚上的灯光秀很好看，大家都躺在地上看，大家也都很有素质，没有哄抢占位。,08/12/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-180015383?locale=en-SG,Garden by the bay,False
M46***93,5.0,奇幻花园超级好看，各种奇花异草搭配到一起如梦如画。正好碰到有人在这里拍婚纱照，想来照片一定很好看。整个花园不大，但是有各种花做的造型，都拍下来也要一些时间。奇幻花园位于滨海湾花园的中间位置，靠近金沙，外观不怎么起眼，里面别有洞天。强烈推荐！,23/11/23,5,https://sg.trip.com/review/gardens-by-the-bay-94795-179870033?locale=en-SG,Garden by the bay,False
M46***93,5.0,超美的室内植物园，一定要去啊。花穹里面主要是各样的花花草草和用花做的雕塑造型，很有趣。云雾林里面主要是一个阿凡达体验，有很多场景再现，逼真的雕塑，还有不少互动游戏很有意思。进到云雾林首先坐电梯到顶端，然后漫步下来，穿梭在云雾之间，身边都是一些奇花异草，仿佛置身于潘多拉星球。整体走下来很轻松，走走停停很适合拍照。,20/11/23,6,https://sg.trip.com/review/gardens-by-the-bay-94795-179855828?locale=en-SG,Garden by the bay,False
M29***22,5.0,提前买了迷雾森林和花穹的门票，门口直接扫码进场，综合来说迷雾森林更有氛围再加上阿凡达特效景观加持，整体感觉比花穹好看。花穹我们过去时天已经黑了，很多植物观看效果不是特别理想，但是花穹里面有中秋节主题灯光展览所以也还不错。两个花园看完大约需要2小时，出来后，去超级树下准备看7点45分的灯光秀。可能因为中秋节，这里人非常多，中国游客能占据一半左右。7点45分超级树灯光秀准时开始，特别应景的播放了多首中文中秋歌曲，现场氛围非常热烈。灯光秀很震撼，持续15分钟左右后散场。超级树灯光秀每晚7点45和8点45两场，注意不要错过，值得一看，关键是免费的。,06/10/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-179276221?locale=en-SG,Garden by the bay,False
念念666,5.0,寒假带家里老人小孩一起来，人不算很多，但是很不错。里面挺凉快，景色不错。,11/02/24,6,https://sg.trip.com/review/gardens-by-the-bay-94795-180668529?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,滨海湾花园非常大，不知道是不是锻炼少的缘故，走起来还是比较累的，里面有游览车，感觉又不划算。太阳比较晒，汗流浃背！奇幻里面有空调，冷气足，还是不是舒服。,23/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180152279?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,奇幻花园(Floral Fantasy)占地1500平方米，由四个风格各异的主题花园构成，花园内还设有4D观影厅。在这里，将能获得视觉、听觉、嗅觉和触觉上的四重享受，开启一段奇幻探索之旅。,23/12/23,2,https://sg.trip.com/review/gardens-by-the-bay-94795-180152130?locale=en-SG,Garden by the bay,False
心善渊旅游达人,5.0,新加坡滨海湾花园（Gardens by the Bay）是新加坡滨海湾项目的组成部分之一，由滨海南花园、滨海东花园和滨海中花园三个风格各异的水岸花园连接而成。整个花园占地101公顷，位于滨海湾亲水黄金位置。,18/10/23,15,https://sg.trip.com/review/gardens-by-the-bay-94795-179441984?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,都说新加坡是花园城市，那滨海湾公园是必须打卡的项目啦，总得来说还可以，去的时候是新加坡的雨季，天空没那么蓝，所以看上去没那么震撼。,21/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180140254?locale=en-SG,Garden by the bay,False
136***62,5.0,环境极美，人也很多，晚上更好看，花园里管理的很好，路标很清楚，点赞！,05/01/24,4,https://sg.trip.com/review/gardens-by-the-bay-94795-180294535?locale=en-SG,Garden by the bay,False
小郝5202,5.0,非常值得去，特别漂亮，绿油油各种植物很是养眼呀,14/02/24,6,https://sg.trip.com/review/gardens-by-the-bay-94795-180735491?locale=en-SG,Garden by the bay,False
starrynight_cn,5.0,价格低廉 非常超值。电梯乘坐到顶楼，风轻轻的吹拂过来。感觉非常舒适。而且价格非常便宜。上面可以看到金沙酒店。四面环绕的都是风景,25/01/24,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180511675?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,新加坡滨海湾花园，有一个儿童玩水乐园far east organization children&#39;s garden，周末遛娃的好地方,23/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180152102?locale=en-SG,Garden by the bay,False
Anonymous User,4.0,云雾林属于自然与科技的结合，如果你好奇火星殖民地应该长什么样，那就值得一览。海洋馆属于绿色的天空，鱼儿在上面俯视玻璃罐中的你，感觉也不错。和国内比胜在热带鱼多，还有蝠鲼够&ldquo;敬业&rdquo;，不用人教，不用训练也够搞笑。当然海洋动物保育也很专业。PS：推荐购买5选2票,10/02/24,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180664076?locale=en-SG,Garden by the bay,False
starrynight_cn,5.0,花穹还可以，擎天树乘电梯上去后，平台上感觉很舒适，最上层是室外的、尽量不要下雨的时候去。什么可以看到金沙酒店，离得非常近,27/01/24,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180525151?locale=en-SG,Garden by the bay,False
D89***88,5.0,先去了云雾林，里面空调很足！看到室内瀑布还是很新奇的！阿凡达展和云雾林很配，有很多互动项目，小朋友玩的比较起劲！花穹去的稍晚，灯光有点暗！看到了很多多肉，让我这个多肉爱好者很开心！晚上的灯光秀很美妙，拍照很梦幻，就是那天下雨，有点美中不足。,22/10/23,4,https://sg.trip.com/review/gardens-by-the-bay-94795-179465352?locale=en-SG,Garden by the bay,False
M52***01,5.0,很棒的体验，人造室内景观真是绝了，不愧是花园城市，而且里面比我想象中要大很多，建议预留5小时以上来这里玩，真的超级大，很费体力，可以连着金沙酒店一起玩比较顺路,02/10/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-179220967?locale=en-SG,Garden by the bay,False
M52***44,5.0,去了三个付费景观园，奇幻花园有许多适合拍照的布景，另两个冷室到滨海湾肯定是要去看一看的，傍晚去可以看到落日，晚上7点45和8点45有两场天空树灯光秀,19/11/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-179850043?locale=en-SG,Garden by the bay,False
M65***68,5.0,挺富有新意的，值得去一趟,24/01/24,9,https://sg.trip.com/review/gardens-by-the-bay-94795-180503409?locale=en-SG,Garden by the bay,False
彼得曼岛张仪,5.0,花穹很一般，云雾林很美。脚程很远，没有接驳车；餐饮店数量不足；手信店东西难看，买不下手总结：累,13/02/24,0,https://sg.trip.com/review/gardens-by-the-bay-94795-180720677?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,花穹和云雾林里面太漂亮啦，够逛几个小时的，来新加坡旅游一定来这里看看，在携程订票是非常便宜的。,26/01/24,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180515142?locale=en-SG,Garden by the bay,False
王姥姥88888,5.0,很喜欢看花，有好多品种的花都没有见过。太漂亮了！赏心悦目，两个园区一起买的票，很漂亮，很震撼！拍了好多漂亮的照片，留下买好的回忆！,04/10/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-179256868?locale=en-SG,Garden by the bay,False
M40***29,5.0,花穹和云雾林非常必打卡地，很多热带花草，还有室内最高人造岩石和瀑布。年味很浓，一进门就是一条巨龙，熠熠生辉。小朋友也觉得很有趣。,15/02/24,2,https://sg.trip.com/review/gardens-by-the-bay-94795-180750962?locale=en-SG,Garden by the bay,False
小叶子1120,5.0,云雾林很有特点，很值得去一次；花穹就略单薄一点；天热的时候逛很凉快，很舒服嗯，票不能退改这个比较不合理，希望后面能改进吧,13/02/24,2,https://sg.trip.com/review/gardens-by-the-bay-94795-180719366?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,滨海湾花园作为新加坡的一个地标，当然值得去呀&hellip;之前去的时候有看夜晚的灯光秀，真的很美，是那种生态与科技的美好结合，植物的丰富和灯光的绚丽&hellip;这回去主要是玩了几个需要门票的馆：花穹、雾林和Floral fantasy（也不知道写的对不对，实在是不记得中文翻译了），花穹和雾林真的很值得去，尤其是对于喜爱植物的人，这里真的可以开阔眼界&hellip;floral fantasy是一个不错的打卡地，如果有时间可以去看看的&hellip;,23/01/24,0,https://sg.trip.com/review/gardens-by-the-bay-94795-180495939?locale=en-SG,Garden by the bay,False
clare_zz,4.0,在金沙湾公园里的一个室内花穹，阳光顶篷有空调，新加坡常年阳光暴晒所以一个室内花穹让游客可以尽情观赏美丽的花卉植物而避免暴晒，雨林是另一个室内空间，每季会推出一个主题，这一季的是阿凡达体验，小朋友会很喜欢。套票人民币264/人，携程买票凭电子二维码入园还是比较方便哒,18/12/23,5,https://sg.trip.com/review/gardens-by-the-bay-94795-180119011?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,奇幻花园（Floral Fantasy）是滨海湾花园的人气景点，风格各异的四大主题景观将花卉、艺术和科技相结合，创造出梦里才会出现的美景。天花板上混合悬挂着超过1.5万朵鲜切花和干花，让您花团锦簇迎新年。,15/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180080202?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,奇幻花园里到处是形态各异的鲜花绿植，不仅有好看又好拍的园艺装置，还有科技感十足又梦幻的雨林景观。打卡第一步，先到网红摄影地花之舞(Dance)，站在布满&ldquo;鲜花瀑布&rdquo;的穹顶之下拍一张美美的照片，接着再去花之雨(Waltz)、花之影(Drift)感受不同形式的花卉艺术之美,15/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180080155?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,距离海湾舫地铁站（Bayfront MRT Station）一步之遥，占地1500平方米的奇幻花园主要由四个风格各异的主题花园构成，展示的花卉也会根据不同季节和主题进行更换。在这里可以感受到花卉、艺术与科技的完美融合，开启一场非凡的赏花之旅。,15/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180080184?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,整个滨海湾花园里最醒目的标志就是擎天树了，这些巨大的钢筋混凝土&ldquo;大树&rdquo;灵感来自热带雨林，不但有树的造型，还模拟了树木的生态功能，上面装置了太阳能电池板和雨水收集器，可以保证周围植物的生长。到了晚上擎天树还可以亮灯表演灯光秀，简直是自然和科技完美合体！,15/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180080125?locale=en-SG,Garden by the bay,False
Anonymous User,5.0,这个花花世界颜值也太高了吧！里面有四个不同主题，拍照最好看的是&ldquo;花之舞&rdquo;鲜花长廊，从头顶垂下来的鲜花瀑布特别梦幻，拍人像后期加个烟雾特效秒变仙境！现在奇幻花园比云雾林还火，已经成为新加坡新晋网红拍照地啦！,15/12/23,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180080148?locale=en-SG,Garden by the bay,False
