username,rating,content,time,Attraction
Niceee,5.0,新加坡植物园是一个令人惊叹的世界级植物园，拥有广泛的植物种类和美丽的景观。这个园区不仅为游客提供了一个放松身心、享受大自然的理想场所，还为科学研究和保护生物多样性做出了重要贡献。园内的中心湖、亭台楼阁和园林设计都非常精美，每年吸引数百万游客前来参观。作为一个热带植物园，它的气候非常宜人，无论是白天还是夜晚，都是一个非常值得一游的地方。总之，新加坡植物园是一个值得推荐的旅游景点，不容错过。,25/02/23,Botanic Garden
EricaC,5.0,新加坡植物园占地74公顷，位于新加坡。约为英国皇家植物园大小的一半，纽约中央公园的五分之一。开放时间为早上5点至午夜12点，并且除国家胡姬花园外全园免费。新加坡植物园南部为荷兰路和那比尔路，东部为古鲁尼路，西部为泰瑟尔道和古鲁尼公园路，北部为武吉知马路。公园最南端距最北端约2.5公里。,24/02/23,Botanic Garden
Free Travel Lady,5.0,"2015年,新加坡植物园被列入联合国教科文组织的世界文化遗产,成为狮城首个世界遗产项目,也再次确认了新加坡作为「花园城市」的美誉。这个物种丰富、充满英式风情的人造园林的所在地本来只是边垂郊区,是一大片常见热带作物的种植园,曾经被富裕的种植园主组成的,农业园艺协会向当时的殖民政府要来建设植物园. 然而到了1874年,由于兴建植物园而举债过度的协会宣布破产,政府于是收购了植物园,并开放成公共空间.当时植物园的基础建设已完成,成功吸引来访的英国人络绎不绝.",12/08/22,Botanic Garden
匿名用户,5.0,这个时节去玩还不错。花穹的主题也是圣诞红和维京人。圣诞仙境很值得一看，也有很多游乐设施适合带小朋友玩。擎天树观景台在圣诞仙境内，所以只看到夜景，平时黄昏时去应该最好。,18/12/2023,Garden by the bay
M29****8322,5.0,提前买了迷雾森林和花穹的门票，综合来说迷雾森林更有氛围再加上阿凡达特效景观加持，整体感觉比花穹好看。花穹我们过去时天已经黑了，很多植物观看效果不是特别理想，但是花穹里面有中秋节主题灯光展览所以也还不错。 两个花园看完大约需要2小时，出来后，去超级树下准备看7点45分的灯光秀。可能因为中秋节，这里人非常多，中国游客能占据一半左右。7点45分超级树灯光秀准时开始，特别应景的播放了多首中文中秋歌曲，现场氛围非常热烈。灯光秀很震撼，持续15分钟左右后散场。超级树灯光秀每晚7点45和8点45两场，注意不要错过，值得一看，关键是免费的。,06/10/2023,Garden by the bay
暖暖麻麻丫,5.0,很美，就在金沙旁边，值得一去。我们去的那天下大雨，但是两个场馆都在室内，丝毫不受天气影响。里面的设置精致有趣，孩子大人都很喜欢。 室内冷气大，去的时候记得带外衣,21/12/2023,Garden by the bay
阿尔施维尔吴王僚,5.0,滨海湾花园是新加坡最著名的景点之一，在鱼尾狮公园的对面。不仅有金沙酒店，还有花穹、擎天树几个独立的景点。花穹里面就是热带雨林风貌的植物园，擎天树可以乘电梯上去。注意这几个地方彼此间要走一段路。,26/01/2024,Garden by the bay
handsupppppp,3.7,云雾林值得一去，花穹里就是各种花，后悔没有买擎天树观景台！买之前也没有仔细了解，导致浪费了门票。9:00左右就不给进了，要去的朋友抓紧买票哦,06/02/2024,Garden by the bay
匿名用户,5.0,观景台超棒！是滨海湾花园周边最高的建筑，可以看到大海，也可以看到金沙酒店，确实挺不错的，但是要注意观景台是观景台，skyway是skyway，不要买错票或者排错队了。花穹在云雾林旁边，是室内的项目，有多种花卉可以观赏，而且场馆内很凉快，确实挺不错的。,31/01/2024,Garden by the bay
夢回彡,4.7,在一个巨大的温室中，生活着成百上千种热带特有的花卉与绿植，云雾林中间有一个巨大的绿植高塔，并且有一个很大的瀑布，进入后跟随路线一路向上边走边参观，再坐电梯前往塔顶，沿着空中栈步道欣赏整个花穹，极为壮观。,15/01/2024,Garden by the bay
syrh,5.0,这是新加坡之旅最惊喜的，也是最惊艳的一个景点了，尤其是云雾林里面，《阿凡达》的主题非常引人入胜，给人非常好的体验!里边的馆非常大，关键是最难得的全程有空调，真是舍得投资的一个旅游项目，非常值得一去!,03/01/2024,Garden by the bay
悠莜琦琦,5.0,花穹是矮的那个，就是个大玻璃花房。游客基本都是冲着云雾林去的，如果不是联票，估计很少人会专门去花穹￼但如果对植物造景没有特别喜爱也可以两个都不看，比如我家小直男就基本没兴趣,08/01/2024,Garden by the bay
M23****6317,5.0,植物很多 空气非常好 很适合去跑步 哈哈哈哈阿凡达感十足。推荐去看哦。在携程上订比在现场更便宜一些。推荐游玩时间两个小时。交通比较方便,04/02/2024,Garden by the bay
leslieboy,5.0,声临其境，仿佛进入了爱丽丝梦游仙境，实在太美了！很多很多没有看到过的花花草草，引人入胜，是一个拍照出片的好地方，空气也很新鲜！,18/02/2024,Garden by the bay
悠莜琦琦,5.0,擎天树丛（Supertree Grove） 位于花园正中央最醒目的标志物，你可以漫步在高约22米的华侨银行空中走道（OCBC Skyway），俯瞰滨海南花园的全景。夜幕降临，还可以在树丛下观赏绚丽多彩的“花园狂想曲”灯光秀！,23/12/2023,Garden by the bay
匿名用户,5.0,植物冷室 花穹（Flower Dome） &amp; 云雾林（Cloud Forest） 两大植物冷室模拟了热带山地地区凉爽潮湿的气候、地中海亚热带地区及半干旱亚热带地区凉爽干燥的气候，展示了来自全球各个洲（南极洲除外）的10万种植物。,23/12/2023,Garden by the bay
悠莜琦琦,5.0,新加坡滨海湾花园（Gardens by the Bay）是一座市中心的超级花园，这里汇集了世界各地的特色植物和花卉，目前我们的游览体验主要是集中在滨海南花园进行。 由英国园林建筑公司Grant Associates设计的滨海南花园，是滨海湾三座花园中最大的一座。,23/12/2023,Garden by the bay
圆圆,5.0,来新加坡必打卡之地！虽然是人造景观不过里面的花花草草很是值得一看，阿凡达的制作惟妙惟肖👍仿佛置身于一个神奇的世界。,29/12/2023,Garden by the bay
全幼儿园最聪明,5.0,这个目的地绝对是旅行者的天堂！美丽的风景和丰富的文化让人流连忘返。” •“这次旅行真是太棒了！遇见了独特的风土人情，收获了难以忘怀的回忆。”,06/02/2024,Garden by the bay
_WeCh****827009,5.0,好美呀，一定要去滨海湾逛逛，吹吹夜晚的风，心情好极了，也要去看超级树，美轮美奂啊,31/01/2024,Garden by the bay
悠莜琦琦,5.0,滨海南花园还有仙人掌绿亭（Sun Pavilion）、峡谷园（The Canyon）、蜻蜓湖和翠鸟湖（Dragonfly and Kingfisher Lakes） 来到这里，大家不妨花上一天时间，在这里闲庭漫步，将“花园城市”的美景尽收眼帘。,23/12/2023,Garden by the bay
匿名用户,5.0,很美，但一定要提前计划，大概下午四五点去拍照好看，我们晚上去天黑拍照不好看，景色也看不太清，super tree的音乐也是很赞的，可惜我们去晚了，什么都是赶赶的，没有办法好好享受，出租车不贵，如果没有叫车软件，就去排队坐blue and yellow的车，礼宾部和出租车司机告诉我们的，对师傅的约束会很多，很安全价格合理,18/12/2023,Garden by the bay
M36****023,5.0,参天大树，非常壮观，更适合傍晚去，逛一圈正好可以看。花穹很一般，除非对花卉非常有研究。云雾林可以去看看，阿凡达主题设计，那么多花花草草，但没有蚊虫，也是一大奇迹。晚上的灯光秀很好看，大家都躺在地上看，大家也都很有素质，没有哄抢占位。,08/12/2023,Garden by the bay
M46****3293,5.0,奇幻花园超级好看，各种奇花异草搭配到一起如梦如画。正好碰到有人在这里拍婚纱照，想来照片一定很好看。整个花园不大，但是有各种花做的造型，都拍下来也要一些时间。奇幻花园位于滨海湾花园的中间位置，靠近金沙，外观不怎么起眼，里面别有洞天。强烈推荐！,23/11/2023,Garden by the bay
M46****3293,5.0,超美的室内植物园，一定要去啊。花穹里面主要是各样的花花草草和用花做的雕塑造型，很有趣。云雾林里面主要是一个阿凡达体验，有很多场景再现，逼真的雕塑，还有不少互动游戏很有意思。进到云雾林首先坐电梯到顶端，然后漫步下来，穿梭在云雾之间，身边都是一些奇花异草，仿佛置身于潘多拉星球。整体走下来很轻松，走走停停很适合拍照。,20/11/2023,Garden by the bay
M29****8322,5.0,提前买了迷雾森林和花穹的门票，门口直接扫码进场，综合来说迷雾森林更有氛围再加上阿凡达特效景观加持，整体感觉比花穹好看。花穹我们过去时天已经黑了，很多植物观看效果不是特别理想，但是花穹里面有中秋节主题灯光展览所以也还不错。 两个花园看完大约需要2小时，出来后，去超级树下准备看7点45分的灯光秀。可能因为中秋节，这里人非常多，中国游客能占据一半左右。7点45分超级树灯光秀准时开始，特别应景的播放了多首中文中秋歌曲，现场氛围非常热烈。灯光秀很震撼，持续15分钟左右后散场。超级树灯光秀每晚7点45和8点45两场，注意不要错过，值得一看，关键是免费的。,06/10/2023,Garden by the bay
念念666,5.0,寒假带家里老人小孩一起来，人不算很多，但是很不错。里面挺凉快，景色不错。,11/02/2024,Garden by the bay
匿名用户,5.0,滨海湾花园非常大，不知道是不是锻炼少的缘故，走起来还是比较累的，里面有游览车，感觉又不划算。太阳比较晒，汗流浃背！奇幻里面有空调，冷气足，还是不是舒服。,23/12/2023,Garden by the bay
匿名用户,5.0,奇幻花园(Floral Fantasy) 占地1500平方米，由四个风格各异的主题花园构成，花园内还设有4D观影厅。在这里，将能获得视觉、听觉、嗅觉和触觉上的四重享受，开启一段奇幻探索之旅。,23/12/2023,Garden by the bay
匿名用户,3.7,都说新加坡是花园城市，那滨海湾公园是必须打卡的项目啦，总得来说还可以，去的时候是新加坡的雨季，天空没那么蓝，所以看上去没那么震撼。,21/12/2023,Garden by the bay
136****6962,5.0,环境极美，人也很多，晚上更好看，花园里管理的很好，路标很清楚，点赞！,05/01/2024,Garden by the bay
小郝5202,5.0,非常值得去，特别漂亮，绿油油各种植物很是养眼呀,14/02/2024,Garden by the bay
starrynight_cn,5.0,价格低廉 非常超值。电梯乘坐到顶楼，风轻轻的吹拂过来。感觉非常舒适。而且价格非常便宜。上面可以看到金沙酒店。四面环绕的都是风景,25/01/2024,Garden by the bay
悠莜琦琦,5.0,新加坡滨海湾花园，有一个儿童玩水乐园far east organization children&#39;s garden，周末遛娃的好地方,23/12/2023,Garden by the bay
北京右下角,5.0,非常漂亮的地方，里面两个收费花园很有特色，白天和晚上是不同的风景，票价不贵，外边环境优雅，免费大花园也很有意境 都是打卡点。,15/02/2024,Garden by the bay
匿名用户,4.3,云雾林属于自然与科技的结合，如果你好奇火星殖民地应该长什么样，那就值得一览。海洋馆属于绿色的天空，鱼儿在上面俯视玻璃罐中的你，感觉也不错。和国内比胜在热带鱼多，还有蝠鲼够“敬业”，不用人教，不用训练也够搞笑。当然海洋动物保育也很专业。PS：推荐购买5选2票,10/02/2024,Garden by the bay
starrynight_cn,5.0,花穹还可以，擎天树乘电梯上去后，平台上感觉很舒适，最上层是室外的、尽量不要下雨的时候去。什么可以看到金沙酒店，离得非常近,27/01/2024,Garden by the bay
匿名用户,5.0,滨海南花园还有仙人掌绿亭（Sun Pavilion）、峡谷园（The Canyon）、蜻蜓湖和翠鸟湖（Dragonfly and Kingfisher Lakes） 来到这里，大家不妨花上一天时间，在这里闲庭漫步，将“花园城市”的美景尽收眼帘。,16/12/2023,Garden by the bay
d89****88,5.0,先去了云雾林，里面空调很足！看到室内瀑布还是很新奇的！阿凡达展和云雾林很配，有很多互动项目，小朋友玩的比较起劲！花穹去的稍晚，灯光有点暗！看到了很多多肉，让我这个多肉爱好者很开心！晚上的灯光秀很美妙，拍照很梦幻，就是那天下雨，有点美中不足。,22/10/2023,Garden by the bay
M52****2001,5.0,很棒的体验，人造室内景观真是绝了，不愧是花园城市，而且里面比我想象中要大很多，建议预留5小时以上来这里玩，真的超级大，很费体力，可以连着金沙酒店一起玩比较顺路,02/10/2023,Garden by the bay
m52****44,5.0,去了三个付费景观园，奇幻花园有许多适合拍照的布景，另两个冷室到滨海湾肯定是要去看一看的，傍晚去可以看到落日，晚上7点45和8点45有两场天空树灯光秀,19/11/2023,Garden by the bay
M65****7468,5.0,挺富有新意的，值得去一趟,24/01/2024,Garden by the bay
彼得曼岛张仪,4.0,花穹很一般，云雾林很美。 脚程很远，没有接驳车；餐饮店数量不足；手信店东西难看，买不下手 总结：累,13/02/2024,Garden by the bay
匿名用户,5.0,花穹和云雾林里面太漂亮啦，够逛几个小时的，来新加坡旅游一定来这里看看，在携程订票是非常便宜的。,26/01/2024,Garden by the bay
王姥姥88888,5.0,很喜欢看花，有好多品种的花都没有见过。太漂亮了！赏心悦目，两个园区一起买的票，很漂亮，很震撼！拍了好多漂亮的照片，留下买好的回忆！,04/10/2023,Garden by the bay
M40****629,5.0,花穹和云雾林非常必打卡地，很多热带花草，还有室内最高人造岩石和瀑布。年味很浓，一进门就是一条巨龙，熠熠生辉。小朋友也觉得很有趣。,15/02/2024,Garden by the bay
小叶子1120,4.7,云雾林很有特点，很值得去一次；花穹就略单薄一点；天热的时候逛很凉快，很舒服 嗯，票不能退改这个比较不合理，希望后面能改进吧,13/02/2024,Garden by the bay
_WeCh****827009,5.0,好美呀，国际大都市的感觉，一定要去逛逛，吹吹风，说说心里的梦🤣🤣🤣🤣🤣,31/01/2024,Garden by the bay
匿名用户,5.0,滨海湾花园作为新加坡的一个地标，当然值得去呀…之前去的时候有看夜晚的灯光秀，真的很美，是那种生态与科技的美好结合，植物的丰富和灯光的绚丽… 这回去主要是玩了几个需要门票的馆：花穹、雾林和Floral fantasy（也不知道写的对不对，实在是不记得中文翻译了），花穹和雾林真的很值得去，尤其是对于喜爱植物的人，这里真的可以开阔眼界…floral fantasy是一个不错的打卡地，如果有时间可以去看看的…,23/01/2024,Garden by the bay
clare_zz,4.3,在金沙湾公园里的一个室内花穹，阳光顶篷有空调，新加坡常年阳光暴晒所以一个室内花穹让游客可以尽情观赏美丽的花卉植物而避免暴晒，雨林是另一个室内空间，每季会推出一个主题，这一季的是阿凡达体验，小朋友会很喜欢。套票人民币264/人，携程买票凭电子二维码入园还是比较方便哒,18/12/2023,Garden by the bay
悠莜琦琦,5.0,奇幻花园（Floral Fantasy）是滨海湾花园的人气景点，风格各异的四大主题景观将花卉、艺术和科技相结合，创造出梦里才会出现的美景。天花板上混合悬挂着超过1.5万朵鲜切花和干花，让您花团锦簇迎新年。,15/12/2023,Garden by the bay
悠莜琦琦,5.0,奇幻花园里到处是形态各异的鲜花绿植，不仅有好看又好拍的园艺装置，还有科技感十足又梦幻的雨林景观。打卡第一步，先到网红摄影地花之舞(Dance)，站在布满“鲜花瀑布”的穹顶之下拍一张美美的照片，接着再去花之雨(Waltz)、花之影(Drift)感受不同形式的花卉艺术之美,15/12/2023,Garden by the bay
悠莜琦琦,5.0,距离海湾舫地铁站（Bayfront MRT Station）一步之遥，占地1500平方米的奇幻花园主要由四个风格各异的主题花园构成，展示的花卉也会根据不同季节和主题进行更换。在这里可以感受到花卉、艺术与科技的完美融合，开启一场非凡的赏花之旅。,15/12/2023,Garden by the bay
悠莜琦琦,5.0,整个滨海湾花园里最醒目的标志就是擎天树了，这些巨大的钢筋混凝土“大树”灵感来自热带雨林，不但有树的造型，还模拟了树木的生态功能，上面装置了太阳能电池板和雨水收集器，可以保证周围植物的生长。到了晚上擎天树还可以亮灯表演灯光秀，简直是自然和科技完美合体！,15/12/2023,Garden by the bay
悠莜琦琦,5.0,这个花花世界颜值也太高了吧！里面有四个不同主题，拍照最好看的是“花之舞”鲜花长廊，从头顶垂下来的鲜花瀑布特别梦幻，拍人像后期加个烟雾特效秒变仙境！现在奇幻花园比云雾林还火，已经成为新加坡新晋网红拍照地啦！,15/12/2023,Garden by the bay
银河系里最温柔的搭车客,4.0,提前在携程上订好了滨海湾花园的票。当天过去直接用二维码扫码入场就可以了，还是挺方便的。买了一个《阿凡达》主题的云雾林还有一个就是花琼。还是比较推荐云雾林 个人感觉花穹就是植物园哈哈 而且也不是很大 云雾林还是晚上去比较好 有感觉 白天一般般吧 里面的植物不过是真的很大,25/11/2023,Garden by the bay
爱走的小莫,5.0,巨大的室内花园，一边类似是植物展，另外一边就像丛林了，去的时候是阿凡达主题，还蛮不错的。虽然是玻璃盖场馆，但空调开得超足，很凉快。下午天气热的时候可以来逛逛这，交通挺便利，挨着金沙酒店，也挨着那个巨大树丛。,25/11/2023,Garden by the bay
yuanyuan860116,5.0,环境很好  瀑布比较震撼 天然大氧吧 有电梯 方便孩子和老人 工作人员服务也好 营业时间比较长  孩子们都喜欢 第二次来的 每次主题都不一样,22/01/2024,Garden by the bay
M34****568,5.0,值得一去，但要最好预备一天时间逛。先去花穹，晚上看阿凡達可能比较有感觉。如果时间不够，可能要先玩云林阿凡達，因为早关门,13/11/2023,Garden by the bay
136****6962,5.0,环境极美，城市干净，夜景更赞，管理很好，服务人员态度好，有问必答，和爱可亲，,30/12/2023,Garden by the bay
匿名用户,5.0,史迹花园（Heritage Gardens）和植物世界（World of Plants），带着孩子的访客，还可以选择去逛逛这两个园艺主题园林。园林由两部分组成，向人们展示植物对人类和地球的重要价值。,16/12/2023,Garden by the bay
匿名用户,5.0,滨海湾花园边上的儿童乐园，湖里有小鱼，大蜗牛🐌，还抓拍到叶子上的一只红色蜻蜓￼，孩子们很开心很兴奋能感受大自然😃。玩水注意带泳衣，毛巾，防晒，如果是12-3点会比较晒。玩水的玩具也可以带,16/12/2023,Garden by the bay
悠莜琦琦,5.0,抬头，满眼色彩缤纷；低头，一片郁郁葱葱。沿着蜿蜒曲折的道路行走。在雨林中漫步，听着瀑布倾泻而下的声音，伴着幽幽花香，忍不住要翩然起舞了～更神奇的是，还有水幕打印机，瀑布上会呈现出不同的图案！,15/12/2023,Garden by the bay
匿名用户,5.0,太值得一去了，花穹，云雾林这两个室内植物园令人震撼。遗憾的是因为下雨，没来得及去看更多的景点，期待下次再来。,18/12/2023,Garden by the bay
CocoZHY,5.0,来新加坡不可缺的目的地,10/02/2024,Garden by the bay
匿名用户,4.3,两个地方在一起 营业时间 花穹：09:00-20:30 云雾林：09:00-20:00 门票：可当天携程购买，现场无需换票，直接扫码进入  花穹也是个兰花展 有好看的花花 有有趣的雕塑 我更喜欢阿凡达主题的云雾林 因为已经在植物园看过兰花了，所以花穹没有多惊艳,06/09/2023,Garden by the bay
CocoZHY,5.0,美丽动人的花园,16/02/2024,Garden by the bay
匿名用户,5.0,里面很大，植物很多，各种各样的，晚上巨型树那里有灯光秀，值得看一看，来新加坡旅游必去的一个地方,04/12/2023,Garden by the bay
匿名用户,5.0,体验很不错,16/02/2024,Garden by the bay
186****0783,5.0,云雾林和花穹在一起，一张票可以解决，套票买重了血泪教训。擎天树的广场免费，上去天空走廊需要买票，一定注意时间，20:30 就不让上了。时间掌握不好坑爹。,15/02/2024,Garden by the bay
E38****72,4.3,室内植物园的感觉，云雾森林比花穹更大，而且看点也比较多，可以坐电梯上到6楼然后慢慢往下走步道看植物。第一次看到这么多漂亮的兰花和只在书本上见到过的猪笼草，很不错的体验。,12/02/2024,Garden by the bay
AndyCandy18,5.0,可以看到各种品类各地域的植物，环境和设施都很好,22/01/2024,Garden by the bay
koukou1984,5.0,去过很多次了，非常建议带家人朋友去走走，老人孩子都很喜欢，除了走路有点累，建议工作日过去，周末人很多，但是性价比非常好，,03/02/2024,Garden by the bay
