username,rating,content,time,image,UserURL,Attraction,is_english,is_japanese,cleaned_content,all_words,verbs,nouns,adjectives
探索大自然,5.0,Singapore 植物园交通非常方便，有地铁直接到。坐环线有植物园站，直接在这下车就是了，很好找。地铁站里面有标志哪个出口，好找。,21/05/23,4,https://sg.trip.com/review/singapore-botanic-gardens-76133-175907728?locale=en-SG,Botanic Garden,False,False,Singapore 植物园交通非常方便有地铁直接到。坐环线有植物园站直接在这下车就是了很好找。地铁站里面有标志哪个出口好找。,Singapore   植物园 交通 地铁 坐 环线 植物园 站 下车 好找 地铁站 标志 出口 好找,坐 站 下车 好找 出口 好找,植物园 交通 地铁 环线 植物园 地铁站 标志,
WYLEUNG,5.0,"冇嘢好得过在宁静的环境漫步, super like 👍🏻",11/11/23,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-179737319?locale=en-SG,Botanic Garden,False,False,冇嘢好得过在宁静的环境漫步 super like,冇 嘢 宁静 环境 漫步   super   like,漫步,宁静 环境,
139***55,5.0,植物都不错，热带植物长得就好，也没有什么养护的痕迹。随处可见走地鸡，走地龟和走地蜥蜴也实在太可爱了。兰花园非常值得一去，几千种不同的兰花，目不暇接,07/03/23,9,https://sg.trip.com/review/singapore-botanic-gardens-76133-175109602?locale=en-SG,Botanic Garden,False,False,植物都不错热带植物长得就好也没有什么养护的痕迹。随处可见走地鸡走地龟和走地蜥蜴也实在太可爱了。兰花园非常值得一去几千种不同的兰花目不暇接,植物 不错 热带植物 长 养护 痕迹 随处可见 走 地鸡 走 地龟 走地 蜥蜴 实在 太 可爱 兰 花园 值得 几千种 兰花 目不暇接,养护 走 走 实在 可爱 值得,植物 痕迹 地鸡 地龟 走地 蜥蜴 兰 花园 兰花,不错 长
MinHoong,5.0,悠闲的好地方,29/10/23,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-179563173?locale=en-SG,Botanic Garden,False,False,悠闲的好地方,悠闲 地方,,地方,
冬天bu冷,5.0,适合早晨一个人慢悠悠的散着，漫无目的的发呆与思考&hellip;或奔跑，或慢走，呼吸着清新的空气&hellip;,06/03/23,5,https://sg.trip.com/review/singapore-botanic-gardens-76133-175105915?locale=en-SG,Botanic Garden,False,False,适合早晨一个人慢悠悠的散着漫无目的的发呆与思考hellip或奔跑或慢走呼吸着清新的空气hellip,适合 早晨 慢悠悠 散 漫无目的 发呆 思考 hellip 奔跑 慢走 呼吸 清新 空气 hellip,适合 散 发呆 思考 奔跑 慢走 呼吸,空气,清新
SofiiYen,5.0,"非常大嘅公园，环境优美，花草树木令人好放松, 仲有好多鸡通地走，湖中有鸭有龟，十分可爱。",26/02/23,4,https://sg.trip.com/review/singapore-botanic-gardens-76133-175028715?locale=en-SG,Botanic Garden,False,False,非常大嘅公园环境优美花草树木令人好放松 仲有好多鸡通地走湖中有鸭有龟十分可爱。,嘅 公园 环境优美 花草树木 令人 放松   仲有 好多 鸡通 走 湖中 鸭 龟 可爱,放松 仲有 走 可爱,公园 环境优美 花草树木 令人 鸡通 鸭 龟,
_TX***23,5.0,超爱这里，每次来新加坡都会从头到尾逛一遍的地方，强烈推荐给公园花园爱好者，里面拍照也超级梦幻好看，之前还碰到有人在里面拍婚纱🤩。有些地方稍微有点晒要记得做好防晒。,26/05/23,2,https://sg.trip.com/review/singapore-botanic-gardens-76133-175955113?locale=en-SG,Botanic Garden,False,False,超爱这里每次来新加坡都会从头到尾逛一遍的地方强烈推荐给公园花园爱好者里面拍照也超级梦幻好看之前还碰到有人在里面拍婚纱。有些地方稍微有点晒要记得做好防晒。,超爱 每次 新加坡 从头到尾 逛 一遍 地方 强烈推荐 公园 花园 爱好者 拍照 超级 梦幻 好看 碰到 有人 拍 婚纱 地方 稍微 晒 记得 做好 防晒,超爱 逛 拍照 好看 碰到 拍 晒 记得 做好 防晒,新加坡 地方 公园 花园 爱好者 梦幻 婚纱 地方,
Andrew79,5.0,新加坡享有 &ldquo;花园城市&rdquo; 美誉，作为一张靓丽的名片，植物园成为新加坡首个联合国教科文组织世界文化遗产地。园内景点包括国家胡姬花园 (The National Orchid Garden)，这里展示的胡姬花规模堪称全球之最，拥有超过 6 万株植物和胡姬花。,29/05/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175984570?locale=en-SG,Botanic Garden,False,False,新加坡享有 ldquo花园城市rdquo 美誉作为一张靓丽的名片植物园成为新加坡首个联合国教科文组织世界文化遗产地。园内景点包括国家胡姬花园 The National Orchid Garden这里展示的胡姬花规模堪称全球之最拥有超过  万株植物和胡姬花。,新加坡 享有   ldquo 花园 城市 rdquo   美誉 一张 靓丽 名片 植物园 新加坡 首个 联合国教科文组织 世界 文化 遗产地 园内 景点 包括 国家 胡姬花 园   The   National   Orchid   Garden 展示 胡姬花 规模 堪称 全球 拥有 超过     万株 植物 胡姬花,享有 包括 展示 堪称 拥有 超过,新加坡 花园 城市 美誉 名片 植物园 新加坡 联合国教科文组织 世界 文化 遗产地 景点 国家 胡姬花 胡姬花 规模 全球 植物 胡姬花,靓丽
+0000,5.0,枝繁叶茂、鸟语花香的新加坡植物园成为大众野餐、慢跑或远离城市喧嚣的理想去处。 在这张照片中背景的标志性凉亭曾是20 世纪30 年代军队乐团的表演地， 也被称为&ldquo;音乐亭&rdquo;。 新加坡享有&ldquo;花园城市&rdquo; 美誉，作为一张靓丽的名片，植物园成为新加坡首个联合国教科文组织世界文化遗产地，与柬埔寨吴哥窟和中国长城等标志性地标齐名。,24/05/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175938241?locale=en-SG,Botanic Garden,False,False,枝繁叶茂鸟语花香的新加坡植物园成为大众野餐慢跑或远离城市喧嚣的理想去处。 在这张照片中背景的标志性凉亭曾是 世纪 年代军队乐团的表演地 也被称为ldquo音乐亭rdquo。 新加坡享有ldquo花园城市rdquo 美誉作为一张靓丽的名片植物园成为新加坡首个联合国教科文组织世界文化遗产地与柬埔寨吴哥窟和中国长城等标志性地标齐名。,枝繁叶茂 鸟语花香 新加坡 植物园 大众 野餐 慢跑 远离 城市 喧嚣 理想 去处   张 照片 背景 标志性 凉亭   世纪   年代 军队 乐团 表演   称为 ldquo 音乐 亭 rdquo   新加坡 享有 ldquo 花园 城市 rdquo   美誉 一张 靓丽 名片 植物园 新加坡 首个 联合国教科文组织 世界 文化 遗产地 柬埔寨 吴哥窟 中国 长城 标志性 地标 齐名,慢跑 远离 喧嚣 去处 表演 称为 享有,鸟语花香 新加坡 植物园 大众 野餐 城市 理想 照片 背景 标志性 凉亭 世纪 军队 乐团 音乐 亭 新加坡 花园 城市 美誉 名片 植物园 新加坡 联合国教科文组织 世界 文化 遗产地 柬埔寨 吴哥窟 中国 长城 标志性 地标,靓丽 齐名
Pau1982,4.0,新加坡植物园（英文：Singapore Botanic Gardens，马来文：Taman Botanik Singapura或Kebun Botani Singapura）占地74公顷[1]，位于新加坡。约为英国皇家植物园大小的一半，纽约中央公园的五分之一。开放时间为早上5点至午夜12点，并且除国家胡姬花园外全园免费[2]。新加坡植物园南部为荷兰路和那比尔路，东部为古鲁尼路，西部为泰瑟尔道和古鲁尼公园路，北部为武吉知马路。公园最南端距最北端约2.5公里。2015年7月4日，新加坡植物园被列入世界遗产名单。2015年7月4日，新加坡植物园被列入世界遗产名单，成为新加坡首个世界遗产项目。,21/05/23,3,https://sg.trip.com/review/singapore-botanic-gardens-76133-175910131?locale=en-SG,Botanic Garden,False,False,新加坡植物园英文Singapore Botanic Gardens马来文Taman Botanik Singapura或Kebun Botani Singapura占地公顷位于新加坡。约为英国皇家植物园大小的一半纽约中央公园的五分之一。开放时间为早上点至午夜点并且除国家胡姬花园外全园免费。新加坡植物园南部为荷兰路和那比尔路东部为古鲁尼路西部为泰瑟尔道和古鲁尼公园路北部为武吉知马路。公园最南端距最北端约。公里。年月日新加坡植物园被列入世界遗产名单。年月日新加坡植物园被列入世界遗产名单成为新加坡首个世界遗产项目。,新加坡 植物园 英文 Singapore   Botanic   Gardens 马来 文 Taman   Botanik   Singapura Kebun   Botani   Singapura 占地 公顷 位于 新加坡 约 英国皇家 植物园 大小 一半 纽约 中央公园 五分之一 开放 时间 早上 午夜 国家 胡姬花 园外 全园 免费 新加坡 植物园 南部 荷兰路 比尔 路 东部 古鲁尼路 西部 泰瑟尔 道 古鲁尼 公园路 北部 武吉知马 路 公园 最南端 北端 约 公里 年月日 新加坡 植物园 列入 世界遗产 名单 年月日 新加坡 植物园 列入 世界遗产 名单 新加坡 首个 世界遗产 项目,占地 位于 开放 免费 列入 列入,新加坡 植物园 英文 马来 文 新加坡 英国皇家 植物园 纽约 中央公园 时间 国家 胡姬花 全园 新加坡 植物园 荷兰路 比尔 路 古鲁尼路 泰瑟尔 古鲁尼 公园路 武吉知马 路 公园 新加坡 植物园 世界遗产 名单 新加坡 植物园 世界遗产 名单 新加坡 世界遗产 项目,
緣分之回憶,5.0,新加坡植物园是新加坡最著名的旅游景点之一，也是世界上最美丽的植物园之一。这个植物园占地60公顷，拥有超过10万种植物，包括许多稀有和珍贵的物种。在这里，你可以欣赏到各种颜色和形状的花卉，还可以学习到有关植物的知识。植物园内有许多不同的区域，包括热带雨林、草地和花园等。其中最著名的区域是园区内的「国家兰花园」，这里拥有世界上最大的兰花展览馆，展示了各种颜色和形状的兰花。此外，植物园还有一个名为「亚洲文化园」的区域，这里展示了亚洲各地的植物和文化。你可以在这里欣赏到中国、日本、印度和马来西亚等国家的植物和建筑风格。总之，新加坡植物园是一个非常美丽和有趣的地方，无论你是对植物感兴趣还是只是想在自然环境中放松一下，这里都是一个值得游览的地方。,11/03/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175149228?locale=en-SG,Botanic Garden,False,False,新加坡植物园是新加坡最著名的旅游景点之一也是世界上最美丽的植物园之一。这个植物园占地公顷拥有超过万种植物包括许多稀有和珍贵的物种。在这里你可以欣赏到各种颜色和形状的花卉还可以学习到有关植物的知识。植物园内有许多不同的区域包括热带雨林草地和花园等。其中最著名的区域是园区内的国家兰花园这里拥有世界上最大的兰花展览馆展示了各种颜色和形状的兰花。此外植物园还有一个名为亚洲文化园的区域这里展示了亚洲各地的植物和文化。你可以在这里欣赏到中国日本印度和马来西亚等国家的植物和建筑风格。总之新加坡植物园是一个非常美丽和有趣的地方无论你是对植物感兴趣还是只是想在自然环境中放松一下这里都是一个值得游览的地方。,新加坡 植物园 新加坡 著名 旅游景点 世界 美丽 植物园 植物园 占地 公顷 拥有 超过 万种 植物 包括 稀有 珍贵 物种 欣赏 颜色 形状 花卉 学习 植物 知识 植物园 区域 包括 热带雨林 草地 花园 著名 区域 园区 国家 兰 花园 拥有 世界 兰花 展览馆 展示 颜色 形状 兰花 植物园 名为 亚洲 文化园 区域 展示 亚洲 植物 文化 欣赏 中国 日本 印度 马来西亚 国家 植物 建筑风格 新加坡 植物园 美丽 有趣 地方 植物 感兴趣 想 自然环境 放松 值得 游览 地方,占地 拥有 超过 包括 稀有 欣赏 学习 知识 包括 拥有 展示 名为 展示 欣赏 想 放松 值得 游览,新加坡 植物园 新加坡 旅游景点 世界 美丽 植物园 植物园 植物 物种 颜色 形状 花卉 植物 植物园 区域 热带雨林 草地 花园 区域 园区 国家 兰 花园 世界 兰花 展览馆 颜色 形状 兰花 植物园 亚洲 文化园 区域 亚洲 植物 文化 中国 日本 印度 马来西亚 国家 植物 建筑风格 新加坡 植物园 美丽 地方 植物 感兴趣 地方,著名 珍贵 著名 有趣
thetravelinguu,5.0,新加坡植物园真是太棒了！它有许多新奇的植物和花卉，拉出一片线形花园，非常壮观而亮丽。而且它还有一个水池，有鳄鱼。有一些小的公园和凉亭，可以歇息，观赏景色，享受自然的魅力。总的来说，新加坡植物园是一个令人惊叹的游乐场，它对常规生活充满欢乐，我强烈推荐！,27/02/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175035279?locale=en-SG,Botanic Garden,False,False,新加坡植物园真是太棒了。它有许多新奇的植物和花卉拉出一片线形花园非常壮观而亮丽。而且它还有一个水池有鳄鱼。有一些小的公园和凉亭可以歇息观赏景色享受自然的魅力。总的来说新加坡植物园是一个令人惊叹的游乐场它对常规生活充满欢乐我强烈推荐。,新加坡 植物园 太棒了 新奇 植物 花卉 拉 出 线形 花园 壮观 亮丽 水池 鳄鱼 公园 凉亭 歇息 观赏 景色 享受 自然 魅力 新加坡 植物园 令人惊叹 游乐场 常规 生活 充满 欢乐 强烈推荐,拉 出 歇息 观赏 享受 生活,新加坡 植物园 太棒了 新奇 植物 花卉 线形 花园 水池 鳄鱼 公园 凉亭 景色 魅力 新加坡 植物园 游乐场 常规,壮观 亮丽 充满 欢乐
Niceee,5.0,新加坡植物园是一个令人惊叹的世界级植物园，拥有广泛的植物种类和美丽的景观。这个园区不仅为游客提供了一个放松身心、享受大自然的理想场所，还为科学研究和保护生物多样性做出了重要贡献。园内的中心湖、亭台楼阁和园林设计都非常精美，每年吸引数百万游客前来参观。作为一个热带植物园，它的气候非常宜人，无论是白天还是夜晚，都是一个非常值得一游的地方。总之，新加坡植物园是一个值得推荐的旅游景点，不容错过。,25/02/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175017100?locale=en-SG,Botanic Garden,False,False,新加坡植物园是一个令人惊叹的世界级植物园拥有广泛的植物种类和美丽的景观。这个园区不仅为游客提供了一个放松身心享受大自然的理想场所还为科学研究和保护生物多样性做出了重要贡献。园内的中心湖亭台楼阁和园林设计都非常精美每年吸引数百万游客前来参观。作为一个热带植物园它的气候非常宜人无论是白天还是夜晚都是一个非常值得一游的地方。总之新加坡植物园是一个值得推荐的旅游景点不容错过。,新加坡 植物园 令人惊叹 世界级 植物园 拥有 植物 种类 美丽 景观 园区 游客 提供 放松 身心 享受 大自然 理想 场所 科学研究 保护 生物 多样性 做出 贡献 园内 中心 湖 亭台楼阁 园林设计 精美 吸引 数百万 游客 前来 参观 热带 植物园 气候 宜人 无论是 白天 夜晚 值得 一游 地方 新加坡 植物园 值得 推荐 旅游景点 容错过,拥有 提供 放松 享受 保护 做出 吸引 值得 值得 推荐 容错过,新加坡 植物园 世界级 植物园 植物 种类 美丽 景观 园区 游客 身心 理想 场所 科学研究 生物 贡献 中心 湖 亭台楼阁 园林设计 游客 参观 热带 植物园 气候 宜人 一游 地方 新加坡 植物园 旅游景点,精美
EricaC,5.0,新加坡植物园占地74公顷，位于新加坡。约为英国皇家植物园大小的一半，纽约中央公园的五分之一。开放时间为早上5点至午夜12点，并且除国家胡姬花园外全园免费。新加坡植物园南部为荷兰路和那比尔路，东部为古鲁尼路，西部为泰瑟尔道和古鲁尼公园路，北部为武吉知马路。公园最南端距最北端约2.5公里。,24/02/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175008632?locale=en-SG,Botanic Garden,False,False,新加坡植物园占地公顷位于新加坡。约为英国皇家植物园大小的一半纽约中央公园的五分之一。开放时间为早上点至午夜点并且除国家胡姬花园外全园免费。新加坡植物园南部为荷兰路和那比尔路东部为古鲁尼路西部为泰瑟尔道和古鲁尼公园路北部为武吉知马路。公园最南端距最北端约。公里。,新加坡 植物园 占地 公顷 位于 新加坡 约 英国皇家 植物园 大小 一半 纽约 中央公园 五分之一 开放 时间 早上 午夜 国家 胡姬花 园外 全园 免费 新加坡 植物园 南部 荷兰路 比尔 路 东部 古鲁尼路 西部 泰瑟尔 道 古鲁尼 公园路 北部 武吉知马 路 公园 最南端 北端 约 公里,占地 位于 开放 免费,新加坡 植物园 新加坡 英国皇家 植物园 纽约 中央公园 时间 国家 胡姬花 全园 新加坡 植物园 荷兰路 比尔 路 古鲁尼路 泰瑟尔 古鲁尼 公园路 武吉知马 路 公园,
Free Travel Lady,5.0,"2015年,新加坡植物园被列入联合国教科文组织的世界文化遗产,成为狮城首个世界遗产项目,也再次确认了新加坡作为「花园城市」的美誉。这个物种丰富、充满英式风情的人造园林的所在地本来只是边垂郊区,是一大片常见热带作物的种植园,曾经被富裕的种植园主组成的,农业园艺协会向当时的殖民政府要来建设植物园. 然而到了1874年,由于兴建植物园而举债过度的协会宣布破产,政府于是收购了植物园,并开放成公共空间.当时植物园的基础建设已完成,成功吸引来访的英国人络绎不绝.",12/08/22,4,https://sg.trip.com/review/singapore-botanic-gardens-76133-172075066?locale=en-SG,Botanic Garden,False,False,年新加坡植物园被列入联合国教科文组织的世界文化遗产成为狮城首个世界遗产项目也再次确认了新加坡作为花园城市的美誉。这个物种丰富充满英式风情的人造园林的所在地本来只是边垂郊区是一大片常见热带作物的种植园曾经被富裕的种植园主组成的农业园艺协会向当时的殖民政府要来建设植物园。 然而到了年由于兴建植物园而举债过度的协会宣布破产政府于是收购了植物园并开放成公共空间。当时植物园的基础建设已完成成功吸引来访的英国人络绎不绝。,新加坡 植物园 列入 联合国教科文组织 世界 文化遗产 狮城 首个 世界遗产 项目 再次 确认 新加坡 花园 城市 美誉 物种 充满 英式 风情 人造 园林 所在地 本来 垂 郊区 大片 常见 热带作物 种植园 富裕 种植园主 农业 园艺 协会 殖民 政府 建设 植物园   兴建 植物园 举债 过度 协会 破产 政府 收购 植物园 开放 成 公共 空间 植物园 基础 建设 成功 吸引 来访 英国人 络绎不绝,列入 确认 垂 建设 兴建 举债 破产 收购 开放 建设 吸引 来访,新加坡 植物园 联合国教科文组织 世界 文化遗产 狮城 世界遗产 项目 新加坡 花园 城市 美誉 物种 英式 风情 人造 园林 所在地 大片 种植园 种植园主 农业 园艺 协会 殖民 政府 植物园 植物园 过度 协会 政府 植物园 成 空间 植物园 基础 英国人,充满 常见 富裕 成功
北京右下角,5.0,非常漂亮的地方，里面两个收费花园很有特色，白天和晚上是不同的风景，票价不贵，外边环境优雅，免费大花园也很有意境 都是打卡点。,15/02/24,3,https://sg.trip.com/review/gardens-by-the-bay-94795-180745943?locale=en-SG,Garden by the bay,False,False,非常漂亮的地方里面两个收费花园很有特色白天和晚上是不同的风景票价不贵外边环境优雅免费大花园也很有意境。都是打卡点。,漂亮 地方 两个 收费 花园 特色 白天 晚上 风景 票价 贵 外边 环境 优雅 免费 花园 意境 打卡,免费 打卡,地方 收费 花园 特色 风景 票价 环境 花园 意境,漂亮 贵 优雅
Anonymous User,5.0,这个时节去玩还不错。花穹的主题也是圣诞红和维京人。圣诞仙境很值得一看，也有很多游乐设施适合带小朋友玩。擎天树观景台在圣诞仙境内，所以只看到夜景，平时黄昏时去应该最好。,18/12/23,9,https://sg.trip.com/review/gardens-by-the-bay-94795-180121751?locale=en-SG,Garden by the bay,False,False,这个时节去玩还不错。花穹的主题也是圣诞红和维京人。圣诞仙境很值得一看也有很多游乐设施适合带小朋友玩。擎天树观景台在圣诞仙境内所以只看到夜景平时黄昏时去应该最好。,时节 玩 不错 花穹 主题 圣诞红 维京 圣诞 仙境 值得一看 很多 游乐 设施 适合 带 小朋友 玩 擎天 树 观景台 圣诞 仙 境内 夜景 平时 黄昏,玩 适合 带 玩 树,时节 花穹 主题 圣诞红 维京 仙境 游乐 设施 小朋友 擎天 观景台 仙 夜景,不错
